user,review,rating
Rin's Utamie Official,"Hanya mau protes aja. Pliss kalian itu udah dapat dr internet, dr customer, dr mitra yg kalian potong gak kira2. Artinya aplikasi ini emang banyak penggunanya, kalo misal ada penurunan pemakaian, ya diperbaiki sistemnya dan pelayanannya. ASLI.. Iklan gojek ini nongol diaplikasi lain dgn SANGAT MENGGANGGU SEKALI! Sangat sering dan berulang-ulang dalam sekali tayang harus klik tanda silang 2-3 kali, bahkan durasinya jg lama. SANGAT MENGGANGGU SEKALI!! Tolong ngiklan yg ngotak dong!!",2
aris susanto,"Tolong hapus alasan pembatalan order KARENA PERMINTAAN DRIVER atau DRIVER MINTA CANCEL. Karena alasan tersebut sering sekali dipakai oleh oknum tidak bertanggung jawab untuk merusak performa driver. Jika memang driver yang menginginkan batal, biarkan driver membatalkan sendiri pada aplikasinya. Performa akun saya semenjak turun karena hal tersebut menjadikan sulit mendapatkan order. Padahal saya selalu on dan mengambil semua orderan tanpa pernah libur.",1
Bhayuas Official,"Cara menilai sopir masih membingungkan, sebab TIDAK ada tulisan, pemberitahuan atau di Menu mana untuk menilai Sopir. Aplikasi yang masih membingungkan. TIDAK bisa scroll ke bawah, padahal ada bagian Kotak berisi Promo yang terpotong, namun TIDAK BISA DI SCROLL.",1
Sahra Nita Nurfitria,"Saya tidak bisa login beberapa kali ke akun saya, sudah mencoba beberapa kali face id tetap tidak bisa. Udh ga pake kacamata, tidak blur, cahaya terang tetep gabisa, udh buat laporan gaada penyelesaian masalah. Kecewa banget sama gojek, lama2 ku uninstall aja drpd penuhin memori HP 👎👎👎",1
Ugik Matthew,"saya order gofood, lalu saya ingin membatalkan pesanan karena sangat melebihi estimasi (sudah 1 jam pesanan masih diproses) sepertinya indikasi resto tutup tapi lupa menonaktifkan sistem. saya ingin request pembatalan pesanan di menu chat resto tidak bisa menghubungi duluan, saya ingin cancel via chat cs gojek tapi cuma dijawab robot (tidak ada menu untuk terhubung dengan cs). sangat tidak membantu!",1
Agus Supriadi,"Menurut ku matiin aja paket hemat nya,, hemat sih hemat tapi datang selalu terlambat,,, masa nunggu sampe 1 jam lebih. Tolong deh kaya dulu langsung aja klik pesan langsung muncul harga pesanan ny.. kcewa. Ga sesuai waktu, satu menit di sini tapi di aplikasi sama dengan 5 mnit perbedaan nya",1
natasya safarani,"Ga pernah bisa 100% percaya dgn map nya gojek walaupun sudah di setting rumah, sudah di setting pin poin, pakai koordinat, walaupun hidup GPS, map ny ga sepintar map nya grab yang titik 100% sesuai dgn ekspektasi. Sebagai pengguna disuruh cek and recheck yang mana ya ga efektif kalau buru buru. Berkali kali pesan goride ujung2 disuruh jalan sm mitra karena titik berbeda. Padahal sudah percaya dgn mapnya dan pasang pin poin. Tolong diperbaiki ya. Lokasi jemput / antar mu tidak pernah akurat",1
Carina K-popers,"Gak jelas banget, oknum drivernya minta cancel dari cust nya karena dia bilang gak bisa dari dia. Tolong dong kalo lagi belum bisa ambil pesenan, yaa di nonaktifin dulu apps nya, jangan jadi rese gitu, kan jadi cust yg kena dampaknya. Mana gak bisa dilaporin langsung di apps, jadi harus lewat email 🤨",1
Dhea Pangestu,"Aplikasi sebenernya bagus. Cuma kurang suka aja sama sistem deliverynya aja. Udah disuruh tunggu 1 jam, ga ada progress, gabisa di cancel dr customer, ditungguin lebih lama lg tiba2 di cancel dari gojeknya krn ga dapet driver! Gada kompensasi apapun, buang buang waktu.",2
Thalia Kirei Nurpriyanto Putri I9IO4259,"Sebenernya bagus, tapi semakin kesini semakin susah cari driver, status pesanan ngegantung berjam jam, ga bisa dicancel, ditungguin pun tidak kunjung dapat driver, sebenernya kekurangan driver atau gimana sih? Udah lama seperti ini tp tidak ada perbaikan!",2
ozan rozana,"sangat membantu dan akurat, cuman sayangnya suka ada driver yang pilih pilih jarak, kalau yang dekat mereka suka minta cancle, karena perhitungan ongkos, padahal pelanggan juga ngerti dan suka ngasih tambahan ongkos karena merasa terbantu",5
Achmad Move It,"tolong fitur pencarian drivernya segera diperbaiki, setiap kali memesan selalu saja dapat driver yang lokasinya terlampau jauh, padahal dilokasi pemesanan banyak sekali driver yang lebih dekat, tapi selalu saja malah dapet driver yang kejauhan.",1
Tulus Widadi,"Fitur Gosend terkadang sulit sekali dapatkan Driver untuk ambil barang. Di coba berkali². Keterangan aplikasi ada perubahan harga karena area padat. Harga di sesuaikan masih relevanlah, tidak masalah. Aplikasi selalu menolak setiap kali mencoba lagi.",1
Vebe Wedia,1. Interface jelek (no two way communication dengan resto sehingga sangat susah untuk mengurus pergantian. Bbrp resto juga tidak dapat dihubungi) 2. Sangat susah untuk memberi feedback dan meminta bantuan ke CS gojek nya terutama saat terjadi kesalahan di pemesanan. CS hanya kirim pesan tidak penting seolah olah tidak benar benar diurus. 3. Paling tidak kalau memang susah u /meminta bantuan dipermudah dari kami u/ cancel dan pesan ulang. Masa waktu untuk cancel hanya 5 detik lalu tidak bisa lg,1
izzah dienillah,"Buruk sistemnya. Kalo order suka dapet jarak ojol yang jauh. Jadi makan waktu. Dan suka di cancel karna jarak. Kelamaan nyari driver, ujung ujungnya di cancel karna jarak kejauhan. Gosend pun sering dapet yang ojol jarak jauh. Dan sialnya, belakangan ini dapet ojol pada males kalo cuaca lagi gerimis. Pada milih cancel. Payah.",1
Raisya,"Pesanan lama banget di antar, nunggu ampe 1 jam lebih gak sampe sampe pesanannya mana ongkirnya malah banget lagi. Makin lama makin mahal. Dan di tunggu pesanannya 14 menit lagi tapi dah nunggu hampir 1 jam lebih bener bener Aplikasi sampah mana gak bisa chat resto.",1
Wahyu Firdausy,"Udah lebih 10 tahun lho jadi user apps ini, udah verifikasi segala macam. Masih saja, setiap top up saldo oneklik harus saja verifikasi kode OTP dimana harus bayar PULSA !!! tolong lah dingertiin, ada beberapa orang seperti saya yang 1 SIM/Nomornya mmang hanya digunakan untuk apps saja, dan pulsa tidak selalu standby. Yang selalu standby di SIM yg lain. Selain itu jika tiap minggu top up harus verifikasi, meskipun tidak banyak satuannya tapi kan jika diakumulasi akan menghabiskan pulsa tsb.",1
P Jama,"Aplikasinya makin ke sini makin sering bug. Ga bisa chat driver berkali-kali sampe orderan di cancel driver karena katanya saya ga respon chat, padahal saya aja ga bisa klik kolom chat nya dari aplikasi karena bug! Setiap driver lama cancel, driver baru masuk, tombol chat nya malah masuk ke nama driver lama yg sudah cancel. Gitu aja terus. Mana ga bisa saya cancel pula ini orderan karena Gofood. Merugikan BANGET!!!!!",1
Fahrizal Husain,"Mesen gocar, dapet driver susah bener. Ada yang digantung orderannya, ada yang cancel berkali-kali, ada yang minta offline intinya banyak cacicu. Order gofood pun sama, dapet driver susah sekalinya dapet digantung dan ke cancel, udah nunggu sejam lebih tiba tiba kecancel sistem. JEK jek",1
Fadia Nur Rahma Sari,"sumpah aplikasinya membantu bigindawww, tapii plis benerin error nya ^^, udah 2x tiba tiba kecantol driver lain padahal barusan udah nyampe ke titik tujuan (jadi pertama dapet driver, dianterin-nyampe, malah kecantol driver lain) mohon agak diperbaiki yaa, bikin spot jantung ae, aku kasih bintang 4.",4
catur endang s.r,"Isi pulsa tidak masuk sama sekali, biasanya kalau tidak masuk saldo langsung kembali, tapi ini sama sekali tidak kembali, menulis keluhan alasannya providernya, indosat sama Telkomsel isi dua2nya gak masuk, yang bermasalah itu aplikasi nya apa providernya, saya beli di grab pulsanya masuk!!!!!!!! Sudah jelas kan aplikasi gojeknya yang bermasalah!!!!!!",1
Dani Radite,Untuk saat ini masalah transportasi saya lebih memilih menggunakan Bluebird untuk yang mobil karena menurut saya kita ini cuman numpang bukan jadi konsumen dan supir berani seenaknya sendiri.Untuk makanan dulu enak banyak promo sekarang di kuasai Bank Mega jadi gak ada promo ini juga akhirnya beralih ke Shopeefood.Paling yang masih saya andalkan hanya Gojek dan Gosend nya saja lainnya kalah bersaing,3
Adlano Nur,"Jangan lagi ada aplikasi slot untuk driver. Ini yg membuat drivernya pada ngeluh. Kasihan mereka, jarak jauh, ongkosnya murah. Dihapuskan aja aplikasi slot, kembali sistem yg lama aja",1
Andi langgeng,"Saya isi Etoll Flazz saldo gopay sudah berkurang, tpi saldo e-toll tidak bertambah. Saya sudah berikan bukti kalau top dan dari gopay tidak masuk. Masih alasan dan tidak mengakui salah sistem. Pelayanan buruk . Bukan masalah uangnya tapi pelayanannya",1
bella francisca,"Sangat mengecewakan . Sudah pesan selama 1 jam gaada konfirmasi , chat dng CS bilangnya ini masih antrian normal. Sudah kita tunggu tiba"" dapet notif tidak ada driver pesanan di batalkan. Klo gaada driver infokan d awal..jng nungu 1 JAM",1
Berliana Dewi Rahmawati,"Saran aja buat gofood kalau bisa sistemnya dirubah, jadi setelah pesanan diterima oleh resto trs langsung dicari drivernya. Soalnya udah nunggu makanan lebih sejam ternyata di cancel resto gara2 ga dapat driver, karena kasian juga dari pihak restonya udh nyiapin makanan, tapi tiba2 mereka harus batalin gara2 gaada driver yg mau ambil.",1
Friska Maisa Afifah,"susah dapat driver buat gofood, pesanan malah tercancel sendiri karena ga ada driver cs nya juga kurang kooperatif tolong perbaiki lagi kualitas nya, kembaliin aja kualitas yang lama makin kesini kualitas nya makin turun jadi serba susah kalau pakai gojek",1
Nanda Oktaviani,"makin lama makin gak jelas ini apk. pesen makanan di cancel terus padahal saya sering ngasih tip buat driver nya. udah laper, nunggu bisa sampe sejam lebih itu pun bisa di cancel tiba-tiba, bikin emosi aja.",1
Yayuk Puji,"Saya pengguna gojek atau gofood,tapi ketika saya gunakan sebagian dri promo atau apalah itu jarang yg mau respon,entah hargnya gak sesuai dngan mereka atau mereka pilih pilih order,jika saya kasi bintang satu P gaknterima da mainya kroyokan,terus dari unit yg di pakai bnyak yg gak sesuai di apk,kejadian yg mejengkelkan pas saya pesen gocar dr jm set 6 smpek set 8 bru smpek,istri saya lagi hamil harus nungguin begitu lama,di chat suruh cepat jawabnya pesan ambulans aja kalau mau cepet,PARAH",4
Ani Listiani,"Padahal udah lama pake iniiii, syg banget beralih ke sebelah. Karena saya sebagai pengguna lama makin lama malah makin mahal² tarifnya, mungkin bisa kasih pengguna lama voucher sekali². Teman saya yg baru pakai dapet voucher besar²an. Mungkin marketingnya emg gitu yaa. Sedih aja sii😓😓😓",3
Syifa Almira,"Dear gojek, saya merasa tidak pernah melakukan penyalahgunaan promosi dsb. Akan tetapi akun saya tiba-tiba kena blokir. Saya minta penjelasan detail rincinya, tapi kalian nggak bisa beri penjelasan dimana letak penyalahgunaannya. Bahkan tidak ada detail berapa lama akun saya akan kena blokir. Pelayanan yg buruk sekali.",1
Budi Taufiq Rachman,"Fasilitas gopay later masih tidak bisa dipakai sudah 3 bulan padahal tidak ada tagihan, track record pemakaian terakhir tidak pernah telat. Gopay pinjam selalu notifikasi, apply cuma 3 menit langsung cair... Semuanya zonk.... Why...?...? Mendingan tuh sistemnya jangan ngasih notifikasi kalau ujungnya cuma mimpi. Sorry ya rating nya diturunin jadi 1, kalau bisa sih 0 cuma gak ada pilihannya.",1
Tony Purnama,Complaint dari saya : 1.seringkali saya mendapatkan driver yg attitude nya kurang bagus dan kendaraan yg menurut saya sudah tidak layak dan tak memberikan kenyamanan bahkan keamanan 2.titik kordinat yg kurang pas 3.selalu mendapat driver yg jauh 4.pada saat macet dan hujan sangat susah mendapatkan driver dan jarang ada yg mau ambil 5.biaya jadi lebih mahal,1
Aulia Indahwardhani,"gojek sangat membantu apalagi gofood nya yang mempermudah kita dalam membeli makanan. namun alangkah baiknya kita diberi akses untuk berkomunikasi dengan pihak resto agar tdk ada misscom. pengalaman saya, yang memesan makanan dari gofood, sudah menunggu selama ±1jam 30mnt dengan informasi makanan masih disiapkan. jujur untuk waktu yang sangat lama membuat saya ingin cancel saja namun tdk bisa, disitu juga saya tdk bisa meminta kejelasan dri pihak resto. lalu tiba tiba pesanan saya dibatalkan:)",4
Nikavanz Otome,"Mungkin karna saya pakai diskonan saya sampai nunggu 2 jam dan ujungnya di cancel terus,ga ada yang salah sih tapi mungkin drivernya ngenteng in hanya karna diskonan, itu sebenarnya awalnya sudah di cancel karna ga ketemu driver terus saya pesen lagi niat nya mau saya cancel pas terlanjur beli lagi tapi fitur mengatakan ga bisa di cancel karna langsung di masak, kalo memang langsung di masak terus mana pesenan sebelumnya?? Kalo ngadain diskonan tapi drivernya begini mending jangan Adain diskon!",2
Rima Yulindrawati,Sekarang driver gocar suka banget main cancel. Klo konfirmasi sih gpp ya. Kalo udah nunggu trus main cancel bikin jengkel. Nyari driver bisa 30 menit sendiri. Makanya tarifnya disesuaikan donk gojeg. Biar driver senang dan ga suka main cancel penumpang.,3
Aditya,"Kasih diskon ke produk dengan cara kasih gambar ke produknya di hari tertentu, tapi di harga dan total pembayaran gak berubah sama sekali. Maksudnya gimana nih? Mending gak usah kasih diskon kalau harganya sama aja.",1
JPA Entertainment channel,"Tolong di perhatikan bagi setiap driver mobil nya. Di utamakan di malam hari. Jika mau pulang tolong aplikasinya dimatikan saja tidak usah di hidupkan biar para calon penumpang atau costumer tidak menunggu lama atau berharap karena jarak drivernya dekat. Ini driver dengan mudahnya beralasan "" mau pulang lah, arah ke kota lah "" yang ujung ujung nya minta cancel. Alasan alasan tidak baik itu. Sekali lagi tolong di perhatikan buat driver mobilnya paling utama. Terima kasih...",2
Joseph. C.Y,"Saya udah pesen makan dari jam 8, udah di dua resto. Saya pesan, diterima pesanan saya! Saya mana tau tuh resto mau tutup, nunggu lama lama, kok menitnya ga abis2? Tanpa pemberitahuan lho, ""masakan dimasak dengan sepenuh hati"", halah ternyata restonya dah tutup, kukira emang ga ada driver aja, Ternyata emang rusak appnya. Ini masalah perut! b1 sampe pengalaman saya tidak terulang lagi. Salah restonya jga, mgkin peraturan restonya bisa diperketat, kasi suspend ke resto yang ga bertanggung jawab.",1
Rafli Fadillah,"Tolong la ini memang baru pertama kali saya kena double booking, 1x udah di cancel buat cari driver lain karena ga dapet2, malah jadi double booking pas udah dapet driver. Kasian gw ke drivernya, gw juga mana tau kalo hasil cancel-an yg pertama masih tetep nyari driver waktu gw lagi nyari driver ulang. Alhasil jadi ada 2 mobil yg nungguin. Pls la ini jangan sampe kekadian ke 2 apalagi 3x nya cukup sekali aja",3
Arie Gripis,"Ada apa dgn aplikasi gojek? Setelah di update malah ngawur aplikasinya.layanan gosend paket lagi di anter tapi status nya msh ""lagi di ambil"",dan saat paket sdh di terima tapi statusnya msh ""lagi di ambil"" dan map nya pun ngawurrrrr ,alamat tujuan jadi alamat pengirim. Jadi menyesal saya update",5
Resa Swaswager,"pernh gk klian psan brng dngan jsa instan atau same day, dan itu pasti dikenalkan biaya kirim, mau jarak berapapun itu 0 km pun pasti ada biaya nya, & aneh nya ketika driver dapet orderan itu, malah gk dpet apa-apa, gila sih. Jdi di aplikasi driver itu ada yg nmanya ""multi instant"" Ini adlh orderan satu atau dua toko dengn jumlah paket maksml 3, & ktika driver dpt dri toko A untuk tujuan 1 dan 2, tjuan stu ke tko A juga & tjuan 2 nya agk jauh, ongkir yg di byr adlh tjuan 2,krena tjuan 1 almt sma",1
rischa suryaningsih,"Ngk jelas bgt aplikasi nya, terlalu banyak menggunakan voucher diskon, drivernya ngk ada yg mau antar, kdg udah nunggu lama katanya pesanan lagi dimasak, udah sejam - 2 jam nunggu, tiba² drivernya ngk ada, ngk jelas bgt sumpah",1
Al dosantos Aldo,aplikasinya login harus menggunakan go to pin sedangkan tidak pernah masuk pakai go to pin sampai sekarang tidak bisa login padahal nomornya sudah sama. Herann perbaiki aplikasinyaa,1
Ryo Getho,"Tolong di Nilai juga para driver, jangan hanya minta penilaian dan tips aja. Ketika kami lagi butuh untuk antar ke kantor ke sekolah atau pas jam pulang, banyak sekali driver ini menolak. Pdhl lokasinya deket dari titik jemput. Tiba² cancel dan tiba² balas chat nya bilang ""Malas, Jauh"", bilang iya tapi gak gerak². Sebenernya kita kasihan sama mereka dan kita gak liat itu nominal, tapi driver2 yg kayak gitu yg suka nolak orderan atau terima tapi gak gerak², seolah² gak butuh rejeki...saya sumpahi",1
Yoga 221188,"Sangat tidak membantu saat hujan pasti tidak dapat driver, pasti aplikasi di Off oleh driver, dan go mart selalu di batalkan oleh driver, mohon agar driver yg batalkan pesanan / yg pilih pilih pesanan di black list saja.",1
Cindy Alifia Nurfatwa,Ditunggu jaminan saldo kembali nya ... Saldo hilang secara mendadak 609.390 dari saldo 610.000 disakan 800 perak pembayaran google play padahal saya tidak melakukan nya jangan sampai saya vidio kan dan saya sebar luas kan sudah banyak korban bukan saya aja ... Ditunggu saldo saya kembali,1
tab spenpatru002,"Kak kok gabisa dibuat pesen?,padahal baru download. Tabnya ini harus nya masih support app gojek baru pesen 7 tahun lalu pesennya. Tolong bantuannya. Waktu masuk app gojek ,malah putih doang",2
fazli abir,"dapat driver sangat lama, layanan CS GA GUNA. Estimasi waktu saat tidak ada driver juga tidak berubah dan TIDAK BERGUNA. seenggaknya baikin dulu lah sistem nya buat kenyamanan customer.",1
calvin cornelis,"saya sangat kecewa, sudah pesan melebihi 1 jam tp tidak ada perubahan keterangan dan tidak bisa di cancel, saat menghubungi CS juga dijawab sama robot. aplikasi payah 👎🏼",1
ADI YADEY,"Menu pembatalan gojek plus tidak ada, tolgn dibatalkan gojek plus saya. Saya sudah membuka aplikasi aaya mengikuti perintah sebagaimana cara pembatalan. Tetapi pada menh tampilan saya tidak ada menu ""Langganan "" utk membatalkan langganan.",2
Aria Fitra Sulaiman,"Aplikasi kaga jelas.. Order dr jam 9 pagi Driver sudah dapat.. Estimasi paket di ambil jam 9 smpai jam 11, udh mau jam 11 dibatalin.. Suruh order ulang lagi.. Ora danta!!",1
tresia larassati,"Aplikasinya bagus dan terpercaya , ngerasa aman kalo pake gosend , goride , gocar , gomart ,, banyak pilihan pembayarannya juga , bahkan ada payleter nya juga komplit banget",5
Anggia Wulandari,Biasanya pesanan gofood tidak terlalu lama. Ini sudah menunggu hampir 1 jam. Pesanan juga ng datang.. alasannya tidak menemukan driver. Dibatalin pesanan juga ng bisa,2
denys cruise,Saya kecewa dengan gojek Paylater nya. Saya beli makanan 34rb. Terus saya isi saldo 50rb dengan maksud agar tidak kena denda. Eh pas tanggal 2 saya cek anda terkena denda 50rb. So total hutang saya jadi 83rb. Parah. Masa saya telat 1 hari denda nya 50rb. Padahal saya punya saldo 50rb. Parah RIBA nya gede banget. Harusnya auto debet ketika ada Saldo. Bukan nya manual kita harus konfirmasi bayar hutang. Harus lebih profesional dong.,1
Bycta,Semakin parah. Jarak dekat di buat jauh ongkir jadi besar. Gila aj padahal tinggal belok ini di putar jauh hingga 3 Km. Padahal itu jalan utama. Aneh anjir. Tracking driver aj di sembunyikan ketika hendak ke resto. Semakin jelek jadi nya,1
Julian Aryo,"Ini sudah beberapa kali saat memesan makanan pengiriman sangat lama (1 jam lebih status pesanan hanya makanan disiapkan dan tidak ada perubahan status) dan bahkan tidak dapat driver tapi saat mau batal prosesnya sangat lama. CSnya juga dengan bot sehingga respon sangat template, kaku, dan tidak solutif. Tolong dibuat standar yang jelas service level sebuah resto dan driver harus berapa lama dan ada reward / punishment jika memenuhi / tidak.",1
Ajeng Lingga,"Sangat kecewa. Nunggu gofood lama2 gak ada kejelasan. Kalo gak ada driver harusnya bisa dari awal aja terdeteksi d dekat resto gak ada, jadi konsumen bisa dikasih tau dan bisa langsung cancel. Mana kelaperan nungguin yg gak pasti. Masalahnya estimasi waktu berjalan 40 menit, d menit terakhir stuck sampe setengah jam lebih.",1
Hani Khairina,"Tarif makin mahal. Waktu kirim amat sangat lama, makanan nyampe udah dingin dan berkeringat kena uap 😊 padahal harga makanan juga sudah di markup dibanding harga asli. Udah ongkir naik, biaya kemasan dibebankan, masih ada tagihan biaya aplikasi dan service. Alhamdulillah 😊😊😊",1
Irwan Lombonaung,"Tolong pihak gojek, klo resto yg kena biaya parkir, mohon di masukin sekalian di aplikasi untuk biaya parkirnya. Soalnya sy langganan pesan di resto gyumbox lotte mall kuningan, kebanyak driver gk minta parkir, tapi bbrp driver suka minta uang parkir, jadi bingung kita sebagai custumers. Entah yg betul ada parkir atau tdk? Jadi klo ada parkir lbh baik masukin ke aplikasi saja. Thx",3
Raisya Alia Yusarin,"Sebenernya bagus ya, udah setia sama aplikasi ini. Tapi kenapa pas mau login harus pakai scan wajah(udah berkali² tetap tidak bisa), padahal dulu tinggal nomor sama email. Dan kalo mau bisa,katanya harus pake nomor baru. Nomor lama ga bisa kah? Mana ada gopay tersisa lagi disitu....",1
潘芳娜Vanya,"Nggak berguna banget tombol chat / telepon resto gak bisa digunakan sama customer. Padahal kalau butuh ganti menu kan lebih enak, nyaman, dan cepat kalau bisa langsung chat sama resto yang bersangkutan.",1
HataNa Shintheo Siahaan,"Aplikasi bagus. Tapi ketika saya pindah ke banjarmasin...harga gocarnya kok naik turun? Saya pesan gocar 30.000, terus saya batalin dan pesan lagi malah harganya turun jadi 25.000 padahal itu lokasinya sama. Baru juga, saya pesan gocar, bayar gopay 14.500 malah di bapak gocarnya menerima pembayaran 16.500. Aneh tapi nyata. Tolong diperbaiki untuk daerah banjarmasin.",3
akbar duta anugrah,"tolong perbaiki lagi maps nya kok tdi sudah pesen sesuai alamat tapi titik nya tidak sama dengan alamat yang di tulis, sama tolong seleksi lagi drivernya kebanyakan orangnya pada gak sabaran dijalanan",1
Nur Lia,"Titik perjalanan lemot di map nya, jd sulit melihat lokasi supirnya udah sampai dimana? Pdhl sudah di update ke versi terbaru tapi msh lemot aplikasinya. Tolong diperbaiki lagi",3
