user,review,rating,review_tokenized,no_stopword,stemmed_review,lemmatized_review
Ilham Mahesa,"dalam aplikasi masih terdapat error juga kecepatannya kurang terkadang ada bag visual juga, terutama saat saya akan order saat menggunakan voucher dan kemudian top up, saldo masuk tapi voucher error yang mengakibatkan harganya semakin naik dan oke saya ulangi lagi dan masih sama voucher hilang dan semakin mahal. tolong bisa diperbaiki kualitas aplikasi dan pelayanan nya.",1,"dalam aplikasi masih terdapat error juga kecepatannya kurang terkadang ada bag visual juga, terutama saat saya akan order saat menggunakan voucher dan kemudian top up, saldo masuk tapi voucher error yang mengakibatkan harganya semakin naik dan oke saya ulangi lagi dan masih sama voucher hilang dan semakin mahal. tolong bisa diperbaiki kualitas aplikasi dan pelayanan nya.","aplikasi terdapat error kecepatannya kurang terkadang bag visual juga, terutama order menggunakan voucher kemudian top up, saldo masuk voucher error mengakibatkan harganya semakin naik oke saya ulangi sama voucher hilang semakin mahal. bisa diperbaiki kualitas aplikasi dan pelayanan nya.",dalam aplikasi masih dapat error juga cepat kurang terkadang ada bag visual juga utama saat saya akan order saat guna voucher dan kemudian top up saldo masuk tapi voucher error yang akibat harga makin naik dan oke saya ulang lagi dan masih sama voucher hilang dan makin mahal tolong bisa baik kualitas aplikasi dan layan nya,vo
Hesti Vironika,"banyak banget jenis pengiriman, kalau gak pilih yang express kadang batal pesanannya. padahal udah nunggu 1 jam, gak semua konsumen mau pakai yang express tapi kalau gak pakai yang express kadang pesanan dibatalkan secara sepihak atau sampainya lama banget.",1,"banyak banget jenis pengiriman, kalau gak pilih yang express kadang batal pesanannya. padahal udah nunggu 1 jam, gak semua konsumen mau pakai yang express tapi kalau gak pakai yang express kadang pesanan dibatalkan secara sepihak atau sampainya lama banget.","banyak banget jenis pengiriman, kalau gak pilih express kadang batal pesanannya. padahal udah nunggu 1 jam, gak semua konsumen mau pakai express kalau gak pakai express kadang pesanan dibatalkan sepihak sampainya lama banget.",banyak banget jenis kirim kalau gak pilih yang express kadang batal pesan padahal udah nunggu 1 jam gak semua konsumen mau pakai yang express tapi kalau gak pakai yang express kadang pesan batal cara pihak atau sampai lama banget,1 jam
rexq dio,"aplikasi mengalami bug, saat dibuka tidak bisa di scroll, tidak bisa di klik. dan lagi saat ingin scroll restoran, pasti hanya loading saat terakhir dan saat ingin scroll ulang itu tidak bisa dan hanya bisa di klik. saya menggunakan wifi jadi jangan alasan jaringan saya yang eror, hp saya xiaomi 13t jadi tidak ada alasan pada device saya. perbaiki aplikasi ini",2,"aplikasi mengalami bug, saat dibuka tidak bisa di scroll, tidak bisa di klik. dan lagi saat ingin scroll restoran, pasti hanya loading saat terakhir dan saat ingin scroll ulang itu tidak bisa dan hanya bisa di klik. saya menggunakan wifi jadi jangan alasan jaringan saya yang eror, hp saya xiaomi 13t jadi tidak ada alasan pada device saya. perbaiki aplikasi ini","aplikasi mengalami bug, dibuka scroll, bisa klik. lagi scroll restoran, loading terakhir saat ingin scroll ulang bisa dan hanya bisa klik. menggunakan wifi jadi jangan alasan jaringan yang eror, hp xiaomi 13t jadi tidak ada alasan device saya. perbaiki aplikasi",aplikasi alami bug saat buka tidak bisa di scroll tidak bisa di klik dan lagi saat ingin scroll restoran pasti hanya loading saat akhir dan saat ingin scroll ulang itu tidak bisa dan hanya bisa di klik saya guna wifi jadi jangan alas jaring saya yang eror hp saya xiaomi 13t jadi tidak ada alas pada device saya baik aplikasi ini,scr scr wifi hp xiaomi 13t
Syarif Ihzmail,"kenapa saya turunin bintangnya, karena beberapa kali naik gocar akhir-akhir ini, hampir tiap drivernya menumpahkan keluhan menjadi mitra gojek krn pendapatan mereka menjadi lebih kecil dari sebelumnya, sehingga menurunkan pelayanan kepada saya khususnya. apalagi terlalu lama mendapatkan driver krn mereka memilih-milih utk mengantarkan pelanggannya dengan berbagai alasan menyarankan saya utk mencari driver lain. saya masih berikan bintang 3 krn masih bisa diandalkan utk transaksi naik kereta.",3,"kenapa saya turunin bintangnya, karena beberapa kali naik gocar akhir-akhir ini, hampir tiap drivernya menumpahkan keluhan menjadi mitra gojek krn pendapatan mereka menjadi lebih kecil dari sebelumnya, sehingga menurunkan pelayanan kepada saya khususnya. apalagi terlalu lama mendapatkan driver krn mereka memilih-milih utk mengantarkan pelanggannya dengan berbagai alasan menyarankan saya utk mencari driver lain. saya masih berikan bintang 3 krn masih bisa diandalkan utk transaksi naik kereta.","turunin bintangnya, beberapa kali naik gocar akhir-akhir ini, hampir tiap drivernya menumpahkan keluhan menjadi mitra gojek krn pendapatan menjadi lebih kecil sebelumnya, menurunkan pelayanan khususnya. terlalu lama mendapatkan driver krn memilih-milih utk mengantarkan pelanggannya berbagai alasan menyarankan saya utk mencari driver lain. saya berikan bintang 3 krn masih bisa diandalkan utk transaksi naik kereta.",kenapa saya turunin bintang karena beberapa kali naik gocar akhir ini hampir tiap drivernya tumpah keluh jadi mitra gojek krn dapat mereka jadi lebih kecil dari belum sehingga turun layan kepada saya khusus apalagi terlalu lama dapat driver krn mereka pilih utk antar langgan dengan bagai alas saran saya utk cari driver lain saya masih ikan bintang 3 krn masih bisa andal utk transaksi naik kereta,gocarjek krn krn 3 krn kereta
amygos,"sy pernah pesan gocar, trus driver minta dicancel krn katanya macet di jalan. stlh dicancel, ternyata proses tetap berlangsung. sy tdk dijemput, tetapi driver tetap menyelesaikan trip. saldo sy kepotong hampir 200.000 !!! benar2 mengecewakan sistem keamanan aplikasi gojek !!! stlh kejadian itu, langsung auto un-install aplikasi yg tidak aman spt ini !!!",1,"sy pernah pesan gocar, trus driver minta dicancel krn katanya macet di jalan. stlh dicancel, ternyata proses tetap berlangsung. sy tdk dijemput, tetapi driver tetap menyelesaikan trip. saldo sy kepotong hampir 200.000 !!! benar2 mengecewakan sistem keamanan aplikasi gojek !!! stlh kejadian itu, langsung auto un-install aplikasi yg tidak aman spt ini !!!","sy pernah pesan gocar, trus driver minta dicancel krn katanya macet jalan. stlh dicancel, ternyata proses tetap berlangsung. sy tdk dijemput, driver tetap menyelesaikan trip. saldo sy kepotong hampir 200.000 !!! benar2 mengecewakan sistem keamanan aplikasi gojek !!! stlh kejadian itu, langsung auto un-install aplikasi yg aman spt !!!",sy pernah pesan gocar trus driver minta dicancel krn kata macet di jalan stlh dicancel nyata proses tetap langsung sy tdk jemput tetapi driver tetap selesai trip saldo sy potong hampir 200 000 benar2 kecewa sistem aman aplikasi gojek stlh jadi itu langsung auto un-install aplikasi yg tidak aman spt ini,sy gocar trus driver stl sy sy 200 . 000 gojek
Andy Putra,"saya pesan makanan dengan estimasi yang terlambat sangat lama, mana nggk bisa di cancel, seharusnya ada opsi untuk pembeli go food kalau waktu jauh melebihi estimasi bisa di cancel, atau setidaknya ada room chat buat pembeli dan pihak resto buat berpesan, terlambat hampir 1 jam itu apa maksudnya ??? kalo memang resto atau driver nggak bisa on time langsung beri info biar saya tidak menunggu lama !!!! kalo memang tidak bisa setidaknya ngomong !!! biar saya punya opsi cari di tempat lain !!!",1,"saya pesan makanan dengan estimasi yang terlambat sangat lama, mana nggk bisa di cancel, seharusnya ada opsi untuk pembeli go food kalau waktu jauh melebihi estimasi bisa di cancel, atau setidaknya ada room chat buat pembeli dan pihak resto buat berpesan, terlambat hampir 1 jam itu apa maksudnya ??? kalo memang resto atau driver nggak bisa on time langsung beri info biar saya tidak menunggu lama !!!! kalo memang tidak bisa setidaknya ngomong !!! biar saya punya opsi cari di tempat lain !!!","pesan makanan estimasi terlambat sangat lama, mana nggk cancel, opsi pembeli go food kalau waktu jauh melebihi estimasi di cancel, ada room chat buat pembeli pihak resto buat berpesan, terlambat hampir 1 jam apa maksudnya ??? kalo memang resto driver bisa on time langsung beri info biar menunggu lama !!!! kalo memang tidak bisa setidaknya ngomong !!! biar punya opsi cari di tempat !!!",saya pesan makan dengan estimasi yang lambat sangat lama mana nggk bisa di cancel harus ada opsi untuk beli go food kalau waktu jauh lebih estimasi bisa di cancel atau tidak ada room chat buat beli dan pihak resto buat pesan lambat hampir 1 jam itu apa maksud kalo memang resto atau driver nggak bisa on time langsung beri info biar saya tidak tunggu lama kalo memang tidak bisa tidak ngomong biar saya punya opsi cari di tempat lain,cancel go food cancel 1 jam
Rin's Utamie Official,"hanya mau protes aja. pliss kalian itu udah dapat dr internet, dr customer, dr mitra yg kalian potong gak kira2. artinya aplikasi ini emang banyak penggunanya, kalo misal ada penurunan pemakaian, ya diperbaiki sistemnya dan pelayanannya. asli.. iklan gojek ini nongol diaplikasi lain dgn sangat mengganggu sekali! sangat sering dan berulang-ulang dalam sekali tayang harus klik tanda silang 2-3 kali, bahkan durasinya jg lama. sangat mengganggu sekali!! tolong ngiklan yg ngotak dong!!",2,"hanya mau protes aja. pliss kalian itu udah dapat dr internet, dr customer, dr mitra yg kalian potong gak kira2. artinya aplikasi ini emang banyak penggunanya, kalo misal ada penurunan pemakaian, ya diperbaiki sistemnya dan pelayanannya. asli.. iklan gojek ini nongol diaplikasi lain dgn sangat mengganggu sekali! sangat sering dan berulang-ulang dalam sekali tayang harus klik tanda silang 2-3 kali, bahkan durasinya jg lama. sangat mengganggu sekali!! tolong ngiklan yg ngotak dong!!","mau protes aja. pliss kalian udah dr internet, dr customer, dr mitra yg kalian potong gak kira2. artinya aplikasi emang banyak penggunanya, kalo misal penurunan pemakaian, diperbaiki sistemnya pelayanannya. asli.. iklan gojek nongol diaplikasi dgn sangat mengganggu sekali! sangat sering berulang-ulang sekali tayang klik tanda silang 2-3 kali, bahkan durasinya jg lama. sangat mengganggu sekali!! ngiklan yg ngotak dong!!",hanya mau protes aja pliss kalian itu udah dapat dr internet dr customer dr mitra yg kalian potong gak kira2 arti aplikasi ini emang banyak guna kalo misal ada turun pakai ya baik sistem dan layan asli iklan gojek ini nongol aplikasi lain dgn sangat ganggu sekali sangat sering dan ulang dalam sekali tayang harus klik tanda silang 2-3 kali bahkan durasi jg lama sangat ganggu sekali tolong ngiklan yg ngotak dong,dr internet dr customer dr mitra 2 - 3
aris susanto,"tolong hapus alasan pembatalan order karena permintaan driver atau driver minta cancel. karena alasan tersebut sering sekali dipakai oleh oknum tidak bertanggung jawab untuk merusak performa driver. jika memang driver yang menginginkan batal, biarkan driver membatalkan sendiri pada aplikasinya. performa akun saya semenjak turun karena hal tersebut menjadikan sulit mendapatkan order. padahal saya selalu on dan mengambil semua orderan tanpa pernah libur.",1,"tolong hapus alasan pembatalan order karena permintaan driver atau driver minta cancel. karena alasan tersebut sering sekali dipakai oleh oknum tidak bertanggung jawab untuk merusak performa driver. jika memang driver yang menginginkan batal, biarkan driver membatalkan sendiri pada aplikasinya. performa akun saya semenjak turun karena hal tersebut menjadikan sulit mendapatkan order. padahal saya selalu on dan mengambil semua orderan tanpa pernah libur.","hapus alasan pembatalan order permintaan driver driver minta cancel. alasan tersebut sering sekali dipakai oknum bertanggung jawab merusak performa driver. memang driver menginginkan batal, biarkan driver membatalkan sendiri aplikasinya. performa akun semenjak turun hal tersebut menjadikan sulit mendapatkan order. padahal selalu on mengambil semua orderan pernah libur.",tolong hapus alas batal order karena minta driver atau driver minta cancel karena alas sebut sering sekali pakai oleh oknum tidak tanggung jawab untuk rusak performa driver jika memang driver yang ingin batal biar driver batal sendiri pada aplikasi performa akun saya semenjak turun karena hal sebut jadi sulit dapat order padahal saya selalu on dan ambil semua order tanpa pernah libur,canc
Bhayuas Official,"cara menilai sopir masih membingungkan, sebab tidak ada tulisan, pemberitahuan atau di menu mana untuk menilai sopir. aplikasi yang masih membingungkan. tidak bisa scroll ke bawah, padahal ada bagian kotak berisi promo yang terpotong, namun tidak bisa di scroll.",1,"cara menilai sopir masih membingungkan, sebab tidak ada tulisan, pemberitahuan atau di menu mana untuk menilai sopir. aplikasi yang masih membingungkan. tidak bisa scroll ke bawah, padahal ada bagian kotak berisi promo yang terpotong, namun tidak bisa di scroll.","cara menilai sopir membingungkan, tulisan, pemberitahuan di menu mana menilai sopir. aplikasi masih membingungkan. tidak scroll bawah, padahal bagian kotak berisi promo terpotong, tidak bisa di scroll.",cara nilai sopir masih bingung sebab tidak ada tulis pemberitahuan atau di menu mana untuk nilai sopir aplikasi yang masih bingung tidak bisa scroll ke bawah padahal ada bagi kotak isi promo yang potong namun tidak bisa di scroll,
Sahra Nita Nurfitria,"saya tidak bisa login beberapa kali ke akun saya, sudah mencoba beberapa kali face id tetap tidak bisa. udh ga pake kacamata, tidak blur, cahaya terang tetep gabisa, udh buat laporan gaada penyelesaian masalah. kecewa banget sama gojek, lama2 ku uninstall aja drpd penuhin memori hp 👎👎👎",1,"saya tidak bisa login beberapa kali ke akun saya, sudah mencoba beberapa kali face id tetap tidak bisa. udh ga pake kacamata, tidak blur, cahaya terang tetep gabisa, udh buat laporan gaada penyelesaian masalah. kecewa banget sama gojek, lama2 ku uninstall aja drpd penuhin memori hp 👎👎👎","login beberapa kali akun saya, mencoba beberapa kali face id tetap bisa. udh ga pake kacamata, tidak blur, cahaya terang tetep gabisa, udh buat laporan gaada penyelesaian masalah. kecewa banget sama gojek, lama2 ku uninstall aja drpd penuhin memori hp 👎👎👎",saya tidak bisa login beberapa kali ke akun saya sudah coba beberapa kali face id tetap tidak bisa udh ga pake kacamata tidak blur cahaya terang tetep gabisa udh buat lapor gaada selesai masalah kecewa banget sama gojek lama2 ku uninstall aja drpd penuhin memori hp,face id
