user,review,rating
Sarah Estes,"I have been trying to get my account unlocked after it was (as admitted through the review) mistakenly marked as spam. Yet it has been over 24 hours and I can't even login. I was given no warning, suddenly a message just appeared saying I wasn't allowed access. I've tried multiple times to get in touch. The one time a call actually came it hung up before giving me the verification code. You made a mistake, you need to fix whatever is going on",1
Clif Jackson,Works great only don't think that is what's app or even your internet that's causing you're connection to be slow or be dropped... It's very much got too do with your actual phones intenna more than anything else I wanna say... So if it's been over 6 months since you've bought or upgraded... Then your gonna have issues.. Once again not the actual app or your internet provider but your phone that's a POS. Almost like they made them to do that before long??? App works great overall!!!!,4
Sean,"Jesus christ, app developers: stop changing things people use every day for no good reason. Don't move the button to attach photos from the gallery to the opposite side of the screen, so now I reflexively keep hitting ""attach location"" or whatever. Don't make it so the slider sometimes refuses to appear and I can't quickly scroll back through photos from a long time ago. It worked fine. Leave it alone.",1
Corey Hernandez (Parkorey),"Have been using app for years. It was fantastic initially, but lately the quality of the app has gone way down. Calls have been dropping more and more frequently. Video quality has become very pixelated. App has been glitching and saying I decline peoples calls when I never declined them, most times phone won't even ring and I'll have half a dozen missed calls all arrive at once. Shame, was a great app for a while. Hopefully they can fix all these glitches, but it's been like this for months.",2
Dino Bettini,"They removed the ""show notifications"" option when muting a group. This is such a downgrade. Also, the limits to sharing and forwarding messages are horrible. Edit: Also, similar to Instagram, their features are so full of bugs that it seems only interns work on them. Restoring the chat history on another phone always fails after getting to 97%. Lost an entire day trying it.",2
Ruben Sanchez Gonzalez,"Since meta bought this app, it has been declining both in quality and functionality. Vocie messages. If you leave a draft, a lot of times you'll lose your message. If you pause while recording a voice note, it stops preventing the screen from turning off, so it interrupts your message. Is there are 2 or more voice notes to be played, you can't just play one, leave the app to do something else, and keep auto play the rest. It just stops. All in all, quality worsening each day.",2
Yoel Teitelbaum,"This is the worst app when it comes to switching devices. There is no one to talk to except an AI that keeps repeating the same useless response over and over. It's a shame that, in this day and age, the process is so complicated, takes so long, and still ends up failing. It's time for real investors to take over and fix it."" my advice if you need this for business don't touch it use some alternative messaging services there are plenty out there",1
Tanaka Magos,"""Amazing! WhatsApp has revolutionized the way I communicate with friends, family, and colleagues. Its seamless and intuitive interface makes it effortless to send messages, share media, and make voice and video calls. The end-to-end encryption ensures my conversations remain private and secure. With its cross-platform compatibility, I can stay connected across devices. WhatsApp's constant innovation, such as its disappearing messages and group chat features, keeps",5
Sandy bind,"For what I use it for at work, the app works fine. But when I had a problem with my number being banned after I tried to move it to a new phone, I got no response from Whatsapp. So gave up and adjusted at work. But on a whim I tried to download the app again after a month and a half...and it downloaded and works just fine. So...the app is fine as long as you don't have a problem! And just maybe, if you give it time, your account will reset.",3
Nick Noyce,"the perfect replacement for SMS! The only annoying thing is the lack of any kind of housekeeping function, I'd like an option to be able to clear down old chats to keep most recent chats, to do this manually would take ages, my backup size is large because of this but I don't want to clear whole entire chats as I like to have at least the last few months to refer back to.",4
Lucius I.,"Beware! Please read! I recently noticed pictures that I did not download on my phone- lots. I thought that maybe I had synced my account with my daughter's. Nope. So I researched it. Turns out apps can download stuff onto your phone. WhatsApp has been not only downloading pictures to my phone but accessing my contacts, my music and audio, and my phone calls in the last 24 hours. I have to use this app for school or I would delete it but I have revoked all permissions.",1
Damilola Akinwumi-Oke,"Your updates are too much too unnecessary sometimes and you only focus on updating the phone version. What happened to the laptop WhatsApp version? That hasn't been updated in a while. There are no ""Favorites"" section on there. Or even lists. Do better. Also, would it be too worrisome to y'all to increase the number of chats that can be pinned??? 3 is just too 2019. Update that. Very necessary.",3
kevin whisenant,"Unfortunately, I can't send msgs from my watch. I receive them fine but when I reply, they're stuck pending with the clock icon. They'll only send if I force close the app and open it up again. But lately that hasn't been working either. Loading voice msgs often times gets stuck spinning and never loads. I have the LTE version and everything else works fine. No issues on my phone. This happens whether I'm on WiFi or LTE. I've tried uninstalling, restarting, force closing. Nothing fixes it.",1
Mwape Chimpampa,"I really like the app. It makes things so easy. But I still have some suggestions, not really complaints. I really think that it would be good for a feature to be added for people to copy the text on their status post, so that if they typed anything wrong, they can copy, delete, paste and make the minor edits needed instead of typing everything all over again. And if another feature to allow one to change to view once anything they forgot to send as a view once by a simple tap, that would be 👍",4
Roman Abreu,"There's a very annoying voice messaging bug that has been going on for months where for some reason the volume is so low that even at max volume you can barely hear them. Initially I thought it was my current phone but recently I've received voice notes from iPhone users with the exact same issue, and it's not only annoying but dangerous as sometimes one can forget to lower the volume before playing something else. Please fix it!!",1
Lavendeer 201,"Custom stickers are a pain, gifs need to continue playing, and the latest update is awful for photos! I used to be able to see all my albums, but now I can only select from Downloads, Camera, Screenshots, and other preselected albums. This makes it VERY DIFFICULT to find the things I want to send to friends and family. Additionally, the typing and correcting spelling is very glitchy/frustrating now. Besides that, it's great for communication without cell service, and is much better than SMS!",3
Lantis XT,"I do love this app, but there are two glaring issues. I communicate with my partner overseas using this app, but the send button for video messages is directly next to the ""1"" button, and it's extremely easy to accidentally hit the ""1"" button. Very frustrating! The second issue is the autoplay. I'll listen to a voice memo ans try to respond, and it'll autoplay the next message, playing over what I'm trying to record. There really needs to be a setting to turn off autoplay. Other than that, 👍!",2
Bobbie Cole,"Finally found the hidden list bar at the top. I found that I had to swipe down in order to see it. Why is it hidden in the first place? It should be shown as default! ... *App could use ""scheduled messages"" to send a text later in the day. ... Also could use the ability to pin more (up to 8) conversations to the top. ... *Ability to have photo albums shown in alphabetical order would be best for faster searching for photos to attach to conversations.",2
Henry Ofori,"WhatsApp Messenger is good 👍🏼 for communication from all locations. It helps to forward images, files, documents, and other links to help reach more people and set plans for your support. The main difficulty it shows when making a call is: ""connecting/reconnecting"", which I think is from the network. When this statement shows no voices are heard 😒, either you called or you're receiving a call from others. It's great 👍🏼 in sharing current status and chatting with families and friends 🧡.",4
Reinan Mortiz,"The chat is good, but for video calls the volume control is frustrating since it does not allow for precise settings. The lowest call volume setting is still loud enough for everyone around to hear. The app also does not allow for listening to music through Spotify or multitasking like that while on a video call, which is also something I hope could be updated in the near future.",3
Clara Cherif,"as much as it is the app I use most, there are a few annoying glitches I get. for instance, I still didn't get the meta AI. all the ppl around me did and I didn't, even though I'm all caught up on updates. there's also this thing on the desktop wp where every open once message I send appears as if its sent by the recipient. I already texted WhatsApp support about it last week and sent screenshots. I'm waiting for the problems to be solved. other than these everything else is perfect.",4
Sebastian Fuller,"They just made the worst possible UI update. Before if I wanted to send a photo, it would just show ALL the albums in my gallery on the app to select and send. Now, it ONLY shows recents and my cloud stored albums. And there's no way to access or view my other albums not in the Google cloud, in the app. So I have to go to my gallery, find the photo, and then ""share"" it to the chat in whatsapp. Why they made this awful change? I have no idea. It worked perfectly fine.",3
Connor Mahoney,"It's a messenger app I primarily use for its voice message feature. The voice messages portion is a hot mess. Sometimes the app tries to route the audio to the headset speaker instead of the normal one. Sometimes it'll black out and lock the screen while playing, which forces you to restart the whole message. Sometimes your recording is interrupted by a text or app popup, requiring the whole recording to be redone as it drops the whole voice message entirely if you didn't finish it. Hot. Mess.",3
Connor Hawke,"Gone. WhatsApp suddenly lost all my messages. It wasn't even open. One day I opened the app and it said it would try to restore my chat history from backup. It failed. Many others have had the same issue; search Google. The fix to get some (but probably not all) of your data back is long-winded and may require rooting your phone. I'm no longer using WhatsApp. Also: critical bugs on Android, including missing messages/media in exports. Customer service is either AI or illiterate. Use another app.",1
Carl Kemp,"So why exactly is it that you STILL haven't mastered the arcane art of editing text messages on Android??? Everybody else seems to have it down pat. At least half a dozen times, I have tried to edit a message that I sent, only to have my edits disappear as soon as I confirm them! Seriously, why even offer an edit feature if you have no intention of actually implementing it???",2
RESJ Robinho,"Hello, though the app is perfect in all its features, it would be a nice thing to be able to highlight chats (highlighted chats appear on top, separated from other non-highlighted chats by a line). And also, the voice message feature will sometimes bug out and make the screen go black for a few seconds. The audio also lowers when this happens, difficultating the use of voice messages.",4
Perry Bdg,"""I've been using WhatsApp for years, and it's been my go-to messaging app. I love its simplicity and reliability. The voice call feature is particularly useful for staying in touch with friends and family abroad. However, I've noticed some occasional lag when sending files. Overall, WhatsApp is a solid choice for anyone looking for a hassle-free messaging experience?.""",5
Mubarik Hanif20,"WhatsApp is an amazing messaging app that keeps me connected with friends, family, and colleagues effortlessly. The interface is simple, user-friendly, and the voice/video calling features are clear and reliable. I love how it allows me to send messages, share media, and even make group chats without any hassle. The end-to-end encryption makes me feel secure, and the regular updates keep improving the overall experience.",4
Rafael Sarante,"The new system to share photos and videos is so tedious. I have a lot photos and videos on my phone organized by album so I can locate them easily and the new system implemented by WhatsApp takes a lot of time to get to the album option. First show the most recent and then we have to tap Recently for it give us some of the albums, but if it isn't the one you're looking for a wait is due so the See More option pops up and that takes so long and have to mention the extras steps now.",3
Antonymous User,"Great app if you have wifi and need to pop off a few text messages but if you use it to make a call, prepare to get frustrated and angry. You'll get about 30 seconds before either you can't hear them or they can't hear you. This ""feature"" is worthless and shouldn't be advertised. I don't want any ""get ahold of so and so to help solve the problem"" I just want it fixed",1
Thurman Yates,"The user interface is awesome. But, I can't use it for much because I can message only message people that are also on WhatsApp. So, 2 people out of all my contacts. No one else wants to use it for that exact reason. It would be so great if it could be used as the default sms/text app for my phone and I could send and receive messages from anyone whether they had WhatsApp or not.",1
Jessica Clark,I used to use this app almost exclusively for messaging however after the latest update it has become intensely frustrating to use and is very glitchy. Voice to text is almost useless now and trying to edit a dictated message isn't possible. It simply highlights 1 word and does not allow anything to be done after that until it closes out the message and makes you start completely over. Hopefully they fix it eventually.,1
vintage rain,The new update changing things with the ui makee the app more difficult and annoying to use. The format and shape of things does not have to be changed. Today I saw the gallery option only accessing a very small number of my photos making it much more difficult to access and send specific images. I hope the ui goes back to the previous one because it worked much better.,3
Ilovelosangeles,"The LAST SEEN is not working for the past week! It even shows the wrong date & time for myself. I've uninstalled/reinstalled. I looked for updates; I'm using the latest version. I restarted my phone several times. Also, my phone is new, Android 14. This app started this issue last week. Until then, there were no issues. Also, people are reading & replying to my messages, but my ""two gray checkmarks"" on my messages are not turning blue and yes, we all have ""read receipts"" turned on.",1
Michael Eiland,"Very unhappy. For some reason when choosing a picture to send in a message, of all my albums in my gallery, only 5 are visible to select from. This was never the case before up till now. I only can select pictures from camera folder, recents folder, downloads folder, whatsapp and screenshot folders. If I click the 3 buttons top right only cloud apps is there. This means if I have a picture in another folder I have to transfer it to one of these to be able to send it in whatsapp. Permission on",2
Max S,"New updates makes the screen sooooo congested. A search bar suggesting I ask if Mars has life: WHATS hAPPening?? It's a messaging app, what was wrong with that. This was once a great piece of tech that cost a few bucks a year. It's like having a crazy uncle or something just renovating stuff for no reason and the changes just get worst and more confusing. Update. Only getting worse. The text field is now so broken you can't move the cursor with out the app losing its mind. Adding photos is broke",1
Homayoun Yousefi'zadeh,"Chat customization introduced recently is great. But in the latest version, the green accent color in the chat list (used for buttons, highlights, and some UI elements) is not directly customizable through settings. Please add color customization to the chat list as well.",4
Petu Pullo,"The new updates are HORRIBLE. After the new updates, everything on the app ahs become so much more difficult to find. They moved around where for example attaching images happens, so I keep jumping to the contacts app. A new feature is the bubble that pops up instead of the ""is typing..."" On the top of the screen, and it is the one thing that I absolutely disliked about Messenger, so why do they need it here? It brings 0 extra value and is distracting. Very disappointing.",2
Sidra Siddique,"From my point of view, WhatsApp is a fantastic messaging app that makes it easy to stay in touch with friends and family. I appreciate its simplicity and the ability to send messages, share photos, and make voice or video calls for free. The end-to-end encryption gives me peace of mind about privacy. However, I also see the downside of constant notifications and the pressure to respond quickly. Overall, I think WhatsApp is a great tool for communication, as long as it’s used mindfully.",2
Danish Syah,"Emoji button is gone from the text status option. Why is that this app's update always makes it worse than before. I get that you did make an improvement (unnoticeable as always), but the things that has been removed or changed not to the users liking always sticks out the most. And one more thing. The web version should at least make text status. People who works 24/7 on their PC might need to use that anyway. And now somehow my contact isn't linked to this app",2
Joy Rose,"The new update has made it a frustrating process to try to upload videos or pictures, even finding the albums has been made more difficult. The edit and autocorrect features for text are very buggy, as well as voice messages or even phone calls. Not to mention all the spam groups I get added to and the spam calls I get. It just seems to get worse over time when this could just be a simple messaging app.",1
Varun Setlur,"On my Pixel 9 pro running Android 15, calls get muted when switching apps or locking the screen. The other party cannot hear until I switch focus back to WhatsApp. This makes it nearly impossible to use my phone for multitasking during long calls. I've granted all permissions and disabled battery optimizations, but the problem persists. I do not have this issue making regular phone calls, which I'm doing more of now.",1
Dennis Mikhail,Why is it so difficult to fix this app? It should not stop playing voice messages whenever a shadow comes across the light sensor on the phone I don't understand why that's even a built-in feature there's absolutely no use for that. On top of the fact it likes to pause while you're recording and sometimes records and other times doesn't. Doesn't seem like very big issues to fix so please do so.,1
Henry Carm,"Pls, can you stop changing and removing file properties when i want to send a song by ""audio"". im forced to send it through ""documents"" And The Max Character limit for paste is too small when editing a media on Mobile, i wanted to paste all the lyrics under the media to reduce message count but no... i have to send them seperately which reminds me, when i forward a document upload (like .mp3) with its long captions, it only forwards the song, without the captions like, WHY",3
Joe DeBellis,"i have been concerned that when I lost my primary phone in the lake and started using this cheap give away tablet, someone or something installed a keypad and session mirroring app. very weird stuff has been happening. as I am typing there is. lag, sometimes letters are backspaced over making the word misspelled, and I now have to click twice on certain actions. Plus pictures and video of me, mostly from the front facing camera appear in my folders. when I check the meta data, like location,",1
Nils M,"The photos sent from this app keep saving on my gallery. It's a nuisance. I have to keep manually deleting them. To add to this nuisance, the app keeps asking about saving to Google drive or something else. Why not save in a temporary app folder like most apps do? Or at least make that an option... I literally loathe opening this app, and I loathe getting memes. I use the app cuz some family and friends overseas are on it, I wish they were on some of the other better communications apps.",2
Leanne Brereton,"Stop messing with this app. Changing things around every 5 minutes and every time you do it goes worse. Can't access my full SD Card now. Only recents, camera, screenshots and downloads are available. I want access to ALL my photos and folders not just the ones you recommend. Click on see more and it brings up the exact same folders so how is this ""more""? Also keeps crashing and booting me out half way through typing. Started doing it last few days since someone started messing around again.",1
Tyler Rose,"I was really liking this app to message one person. then suddenly this morning I stopped receiving notifications from them, until I open my phone and then the app itself. they were in fact messaging me but WhatsApp was not notifying me whatsoever. I've done everything I can but I'm still having the same issue. I prioritize them in every way, I turned off do not disturb mode, but it is simply not notify me until I open the app.",2
Ilari Welling,"Meta have managed to ruin the app in the latest updates. What was simple, like adding pictures, is now a complex annoyance as editing them and the text added to them has been made more difficult, and the functionality is simply annoying. They have tried to improve something that didn't even need improving, and in doing so, have made it so much worse. At least there are other apps to migrate to, I will suggest that if this is not rolled back.",1
Tori McDowell,"If I could give WhatsApp zero stars, I would. The app is full of issues that never get fixed. It crashes constantly, the notifications don’t work properly, and messages often don’t send or arrive late. The interface is clunky, and it’s impossible to find old chats easily. Group chats are a nightmare with endless spam, and you can't even mute certain contacts without them still showing up.",1
Dimitri Ajazi,"The app itself, as a chat client, at least seems to be fine. The service itself is terribly buggy. Via web, I was trying to upload an icon for a group of just two family members and my account suddenly got blocked. The icon wasn't offensive in any way. What gives? I can't even delete the account. But WA can sell my contact list, can't it now.",1
Eugene Chinemelum,"I was complaining about arranging people's status in the order of time of posting. Now, posting or sharing photos or videos on status or to contacts is now a war. I thought it was network challenge, but it's not it. This is really really challenging. How can 1 photo load for almost 2 minutes.. These are so bad... Other features are improving though..",1
Guess Who,"WhatsApp Is a Mess! Everyone I came in contact with suggested I get this app, so I downloaded it. I find it very complicated, difficult, and frustrating to use. Instructions aren't clear. It's not user friendly. I don't keep a contact list so I can't invite other users. I can't even invite users with my QR code because I can't copy it. This app has been a collosal waste of my time and I've gotten nowhere. Notify me when this app can at least make it easy for me to invite people to connect with.",1
Levi Zammit,"Please fix your Bluetooth issue for playback of audio messages. I cannot play audio messages unless I have some other music playing, in which case it speaks over the music which is annoying. If I pause the music the message appears to be playing and no sound comes out. This only happens when connected to a Bluetooth device IE car or headphones. I have a pixel 7 Pro with all recent/relevant updates to app and OS.",1
A Google user,I've been a staunch supporter of WhatsApp for many years but since one of the latest updates when I try to take a picture and zoom in to the max it automatically switches to that dreaded video note. I can't understand the point of it anyway. When I want to shoot a video I use the normal one. Why do I need that silly little circle but most to the point why does it switch to that when I'm just trying to take a closeup picture? Until you fix it I'm only giving you 2 stars 🙄,2
Scott Phillips,"Locked my account at a critical time. Do not trust this app. I signed up and started using this app to communicate with a travel provider while travelling internationally. I only sent messages to two travel providers, an airbnb host and a car rental I currently have a car from. Whatsapp locked my account due to spam for no reason. I can't communicate with the car rental company and desperately need to contact them to return the car before my flight.",1
Brenda Lew,"I AM SICK AND TIRED OF THE FORCED BLURRING WHEN I USE THE FRONT CAMERA. Yes, I double checked that backgrounds and filters were off. It still happens. This is a pain in the behind when I'm trying to show an object from the front as it blurs it out. and it makes the quality look trash. META, GIVE PEOPLE THE OPTION TO TURN THIS FEATURE OFF.",1
Lupo32,"I've been using this app for years with no issues. Now I think since the last update my voice calls are not working properly. I can dial out but the person I dialed can't hear me at all. I've tried everything in settings and reinstalled the app, no change. Wish there was a fix for this. The Whatsapp support was useless.🙄",1
Lisa Tibbitts,I have enjoyed using this app but I want the option to delete anything I've shared for everyone whenever the need arises. I am using it to get to know possible romantic partners but after talking and sending videos and photos (nothing r rated) I don't want them having access once we stop talking. That seems reasonable to me. Even harmless photos and videos can be misused when things are complicated and end.,3
Deeksha Hota,"1. Issues with notifications and calls - they don't show up until the app is opened. There has been no notification about the calls at all for a long time. 2. The audio quality is terrible, to the point of just muffled noise. The background noise is too amplified. Please look into the matter :)",1
abdul shehu,"Not bad, but two issues, when viewing media on a chat, it combines all the media files whether sent or received, I feel it should be separated, also the status upload is terrible, it allows you write more than it can contain and when u upload it, you see half of what u have written is not there, also video trim for status is not good, u can trim 30seconds out of a 1 minute video and it will upload a different 30 secs from what u selected. Lastly you should select what u want as the app lock",3
Birdi Saab,"Everything is perfect except I can't receive whatsapp phone/video calls notifications on the screen straight away when the phone rings. I can feel the vibration, hear the sound. In order to see who is calling me on whatsapp, I must open the app first, then wait for it to pop up the calling pop-up then click on it to see who is calling and then I cam answer it. IPHONE doesn't have this issues but my Samsung S25 Ultra has this issue.",3
Courtney Krieger,"WhatsApp is not what I expected. 1. Limited Features: Despite being a leading app, it’s missing basic features like advanced customization for notifications or the ability to pin more than three chats. 2. Poor Media Management: Photos and videos automatically clog up storage unless manually disabled, and managing media within the app is tedious. 3. Privacy Concerns: While messages are encrypted, the app’s ties to Meta (Facebook) raise questions about how user data is handled.",1
Ward Martin,"Just did a phone upgrade. You can't restore backup if you forget password because; the recovery offered requires access to the program but,... I'm told I cannot backup later if I continue beyond the [restore backup] stage at the very beginning of the sign in process. Samsung & Google phone switch support leaves this program unsupported, like any other apps that aren't theirs,",2
Peter Trimmer,"Android user - recent update now deletes text if you add an image to send after typing. If you add image first, text can be added after. Different to how it used to work. This has been asked about on a couple of forums I use. Android users affected, iPhone still works the original way. Admin, please fix. This is a frustrating update.",4
Dewie Vogelsanger,Whatever update they've made to the attachment option. Now I can't access all the folders on my phone it just has them all under recent or there's 4 folders but thats not all of them. Meta really making me want work to move to another platform. The AI search being added is unnecessary and not having the search button always available is stupid. Having to scroll all the way up is ridiculous.,1
Jasmine Green Tea,"I'll edit my rating once my issue has been resolved. Currently for my WhatsApp, all the emojis are missing. When I open up the emojis menu, it just says ""No emoji found. Try searching with different text"". But the thing is, I did not even type anything to search for a specific emoji. The whole menu is missing.. Now, my only way to type emojis are through my phone's keyboard.",1
Mili Sarkar,"In is an easy to use , affordable device . You can block anybody you don't want to communicate with as well as anybody you don't want to communicate with. And also end-to -end eneryption , which ensures that all messages, called , photos , and video shared on the platform are secure and private. Text message: Enable users to exchange instant text with no SMS charges , from quick updates to long chats . Voice and video call anyone globally . Group video calls allow up to eight participates, meeti",5
Shramanth Rajarathnam,"For some reason now, the chat filters don't get automatically hidden when I exit and enter the app again. Also, going back from a group takes me to the main page instead of the community when there are other unramead groups in that community. Filter for non-contacts would be great.",4
Rod Ibi,"This app is the best to use for communication, really has done a lot for me, and it deserves five stars, though four will do, given the recent update I downloaded and it kinda is worse than the previous version,here I get to scroll back and select a text I want to reply to instead of continuing to reply to texts simultaneously without me going down to where the text I have sent is, unlike the previous one, where you remain at the point in the chat where you where before sending a text",4
Harlequins,The latest update which involves channels on Whatsapp is frustrating. It's a good idea but the way it's being arranged makes the interface not user friendly. I prefer the former version. I hardly find the status I want because of this so called channels thing update. Edit: The rearrangement makes sense now. I can access my contacts status and other features with ease currently. Thanks for the update.,5
KELVIN LAM,"Been Good. Since having mobile data, this is the default communication App. One suggestion to the developer, as we communicate with one another, making an appointment with a friend or a group is common. Many apps have integration with Calendar. Maybe WhatsApp can also have some kind of events/calendar function integration?",5
Alexis Veronica Neo Wen Ni,"This app is awesome, you can contact with people (obviously) not only you can scan QR codes to connect with your computer or laptop, though there are some problems. It's hard to scan the QR cause it doesn't scan nicely. Other than that, the updates r really slow. My friends alrdy have updated new feautures and i don't although i did update this app. Whatsapp, please fix this update issue",4
Jade Hassall,"It's great for typing but video and voice calls drop constantly. After about a minute, the call states ""reconnecting"" and then drops. You can't report it to WhatsApp either as they don't provide chat or email support for technical issues regarding calls. As for being able to send pictures - good luck. It barely allows you to find any pictures anymore! Since the update, things have been so much worse.",3
Jerica Cary,"Starting a few days ago I can no longer send any videos. They all turn green and glitch out, making them completely unviewable. I've cleared my cache, I've updated, I've uninstalled and reinstalled and nothing changed. This seemingly came out of nowhere? It's a massive inconvenience. I also can't change my chat background anymore, it just doesn't do anything after I press confirm.",2
Tanya Stepanic,"Please fix issue with calls not showing up on lock screen. For context, I have many years of experience working in mobility and have performed all possible troubleshooting steps. Additionally, I have 2 different make/model Android devices, both have the exact same settings for WhatsApp and notifications, but only 1 is showing full screen incoming calls. Will update to 5 stars once fixed. Thanks!",3
Charles Morris,"Love being able to download voice notes and listen during a hike without my phone. However, playback stops usually 5 mins in unless I switch focus to the app. Playback position is lost - wish there was a way to seek even if rough. Also can't seem to download voice notes longer than 30 mins or so, it just spins endlessly even in WiFi.",3
Dr Shahnaz Aslam Jamal,"Over the years, WhatsApp has greatly improved. Texting, sharing, audio video calling features are good. Word processing, formatting needs to be brought at par with other such apps. Editing of pictures has a great margin if improvement, as this is used by online teachers to mark& grade assignments. Tutorial videos for new features is a must. There are many good features in this app such as encrypted messages, it is confusing to use. It is good for chatting,",4
Madhumanti Nath,"I have been unable to back up my chats since 18th April. The backup size also keeps increasing everytime I start it anew, and it has currently reached 1.1 gb. My Google account has auto-sync turned on, whatsapp is fully updated too. The bar stays full at 100% for hours, but the backup never uploads, with a message showing ""Google storage experiencing issues"" when it stops. I have done the recommended procedures in the app, but nothing is helping. Please look into this matter. Edit: Same again",3
Danish Siddique,"Hello, the latest WhatsApp update has introduced changes that I find quite inconvenient. Earlier, status updates were displayed in a straightforward vertical list, which I preferred. Now, they’re arranged in a horizontal format, which feels less user-friendly. Additionally, the Updates tab is now filled with channels and their options, which I don’t find useful. The previous design was simpler and more practical. I hope WhatsApp reconsiders and brings back the older layout. Thanks",1
Jeremy “AshReal” Spencer,"(edited) thanks WhatsApp! I only have one more conplain. Unlike Iphone, WA here doesn't have the feature to preview the cut part on Status. Preview as in hovering the ""start"" or ""end"" part of the video and we can see which or what happen at the part we're about to cut off or end at(same goes with start). This will helps a lot on posting a precise short videos or clips without having to rewatch the vids from the beginning. Edited: now my animated stickers won't animating. Fix this asap",2
Anthony Thompson,"You guys should have fixed the hanging issue on android by now. It freezes or doesn't respond when I want to take screenshot, I just missed two important calls. The android system basically freezes when using WhatsApp. I dont know if it's a samsung only issue or all android. Cus my friends who has the same issue are all using samsung. It's been almost a year if not more and still hasn't been rectified. I was forced to come here to complain. It's really frustrating.",2
Mustafa Shararah,"The addition of the voice chat option in group chats without a way to disable it or move it anywhere else on the screen is truly astonishing. It replaces a fundamental (scroll to the bottom feature) area, that should be empty when reading recent chat, because now it covers the two-ticks as well, and is just above the send button so it's accidentally hit multiple times. Give us an option to disable this feature and to disable meta AI when trying to tag users. All we need is a disable option.",1
ryu,"once again, i don't understand the unnecessary need to modernise and change everything in this app. the newest update changes the ""typing..."" feature into a text bubble instead, which was, AGAIN, completely unnecessary & looks off. why change something that worked perfectly fine before? features like this should be optional, as not everyone copes well with change. PLEASE have more regard for your users, if it's not broken stop fixing it. as soon as you get used to a layout, they change it AGAIN.",1
robodu,"This app used to work well for what it was worth but sometime this year, it began freezing and crashing incessantly on my phone so much that I couldn't use it. Mind you, it only happens on this app, every other app works smoothly. Researched and found out that this is a very common problem with WhatsApp on Samsung phones. Pls fix it! This is very annoying",1
Daniel Osawaru,"19th/11/24 The app has been going through some changes the past few months with some good and some very questionable. AI, drafts, and other good features where added but please make it easier to navigate the status page, just take it back to how it used to look where everything was vertical and not horizontal. Thank you",5
