title,description
Anakonidin OBH Sirup 60 mL,"Anakonidin OBH Sirup merupakan obat sirup anak yang mengandung bahan seperti Paracetamol dan Succus Liquiritiae yang bermanfaat dalam meredakan batuk dan gejala flu seperti demam, sakit kepala, hidung tersumbat serta bersin-bersin. Memiliki rasa dan aroma buah strawberry yang menyegarkan. Obat ini dapat menyebabkan kantuk. Khasiat : Meredakan batuk dan gejala flu seperti demam, sakit kepala, hidung tersumbat serta bersin-bersin Komposisi : Tiap 5 ml mengandung: Paracetamol 120 mg Succus Liquiritiae 100 mg Ammonium Chloride 50 mg Pseudoephedrine HCI 7,5 mg Chlorphenamine 1 mg Aturan Pakai : 2-6 tahun : 3 kali sehari 1 sendok takar (5 ml) 6-12 tahun : 3 kali sehari 2 sendok takar (10 ml) Peringatan dan Perhatian Tidak boleh diberikan pada penderita yang peka terhadap obat simpatoninetik lain , penderita tekanan darah tinggi berat, dan yang mendapat terapi obat anti depresan tipe penghambat Monoamin Oksidase (MAO) Tidak boleh melebihi dosis yang dianjurkan Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih atau penderita usia lanjut Bila dalam 3 hari gejala-gejala tidak berkurang, segera hubungi dokter atau unit pelayanan kesehatan Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing Penyimpanan : Simpan pada suhu kamar dibawah 30oC, terlindung dari sinar matahari langsung Kemasan : Botol 60 ml Produksi Oleh : PT. Konimex BPOM No : DTL0613023137A1"
Anakonidin Sirup 30 mL,"Anakonidin Sirup merupakan obat sirup anak yang mengandung bahan seperti Dextromethotphan HBr dan Guaifenesin yang bermanfaat dalam meredakan gejala batuk dan pilek. Obat ini tanpa alkohol dan dapat menyebabkan kantuk setelah pemakaian. Khasiat : Meringankan batuk dan pilek Komposisi : Tiap 5 ml mengandung: Dextromethotphan HBr 5 mg Guaifenesin 25 mg Pseudoephedrine 7,5 mg Chlorphenamine Maleate 0,5 mg Aturan Pakai : 2-5 tahun : 3 kali sehari 1 sendok takar (5 ml) 6-12 tahun : 3 kali sehari 2 sendok takar (10 ml) Peringatan dan Perhatian - Tidak boleh diberikan pada penderita yang peka terhadap obat simpatoninetik lain , penderita tekanan darah tinggi berat, dan yang mendapat terapi obat anti depresan tipe penghambat Monoamin Oksidase (MAO) - Tidak boleh melebihi dosis yang dianjurkan - Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih atau penderita usia lanjut - Bila dalam 3 hari gejala-gejala tidak berkurang, segera hubungi dokter atau unit pelayanan kesehatan - Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing Penyimpanan : Simpan pada suhu kamar dibawah 30oC, terlindung dari sinar matahari langsung Kemasan : Botol 30 ml Produksi Oleh :? PT. Konimex BPOM No : DTL761300337A1 ?"
Anakonidin Sirup 60 mL,"Anakonidin Sirup merupakan obat sirup anak yang mengandung bahan seperti Dextromethotphan HBr dan Guaifenesin yang bermanfaat dalam meredakan gejala batuk dan pilek. Obat ini tanpa alkohol dan dapat menyebabkan kantuk setelah pemakaian. Khasiat : Meringankan batuk dan pilek Komposisi : Tiap 5 ml mengandung: Dextromethotphan HBr 5 mg Guaifenesin 25 mg Pseudoephedrine 7,5 mg Chlorphenamine Maleate 0,5 mg Aturan Pakai : 2-5 tahun : 3 kali sehari 1 sendok takar (5 ml) 6-12 tahun : 3 kali sehari 2 sendok takar (10 ml) Peringatan dan Perhatian - Tidak boleh diberikan pada penderita yang peka terhadap obat simpatoninetik lain , penderita tekanan darah tinggi berat, dan yang mendapat terapi obat anti depresan tipe penghambat Monoamin Oksidase (MAO) - Tidak boleh melebihi dosis yang dianjurkan - Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih atau penderita usia lanjut - Bila dalam 3 hari gejala-gejala tidak berkurang, segera hubungi dokter atau unit pelayanan kesehatan - Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing Penyimpanan : Simpan pada suhu kamar dibawah 30oC, terlindung dari sinar matahari langsung Kemasan? : Botol 60 ml Produksi Oleh? : PT. Konimex BPOM No : DTL761300337A1 ?"
Trifed Sirup 60 mL,"Trifed Sirup merupakan obat sirup yang mengandung Triprolidine HCl dan Pseudoefedrin HCl. Obat ini digunakan untuk meringankan gejala flu karena alergi pada saluran pernafasan bagian atas, seperti hidung tersumbat, bersin, gatal pada hidung. Khasiat : Untuk meringankan gejala flu karena alergi pada saluran pernafasan bagian atas, seperti hidung tersumbat, bersin, gatal pada hidung. Komposisi : Tiap sendok takar (5 ml) mengandung Triprolidine HCl 1.25 mg & Pseudoephedrine HCl 30 mg Aturan Pakai : Dewasa & Anak-anak >12 tahun: 3 x sehari 2 sendok takar (10 ml). Anak 6-12 tahun: 3 x sehari 1 sendok takar (5 ml). Anak 4-6 tahun: 3 x sehari 3/4 sendok takar (3.75 ml). Anak 2-4 tahun: 3 x sehari 1/2 sendok takar (2.5 ml). Perhatian : Penggunaan untuk ibu hamil dan menyusui harus berkonsultasi dengan dokter terlebih dahulu, Hati - hati jika digunakan untuk anak - anak dibawah 2 tahun dan harus sesuai petunjuk dokter. Obat ini dapat menyebabkan kantuk, jangan mengemudi atau mengoperasikan mesin. Kontraindikasi : Hipersensitif, penderita hipertensi, glaukoma, diabetes, jantung koroner. Efek Samping : Kering pada hidung, mulut dan tenggorokan, mengantuk, pusing, sakit kepala, gangguan kordinasi, tremor, gelisah, halusinasi. Penyimpanan : Simpan dibawah suhu 30 derajat C, terlindung dari cahaya matahari Kemasan : Botol @60 ml Produksi Oleh : PT. Interbat BPOM No : DTL8917606137A1"
Alco Plus Sirup 100 ml,"Alco Plus Sirup 100 ml adalah solusi yang efektif untuk meredakan batuk dan pilek. Sirup ini Bekerja sebagai dekongestan hidung dan antihistamin. Dengan kandungan bahan aktif yang telah terbukti meredakan gejala pernapasan, Alco Plus Sirup membantu melegakan tenggorokan yang teriritasi dan mengurangi kekambuhan batuk. Khasiat : Untuk meringankan bersin-bersin dan hidung tersumbat karena pilek. Cara Pakai : Dewasa dan anak usia > 12 tahun: 3x sehari, 5 ml. Anak usia 6-12 tahun: 3 x sehari, 2,5 ml. Anak usia 2-5 tahun: 3x sehari, 1,25 ml. Kontra Indikasi : Penderita yang hipersensitif terhadap komponen obat. Perhatian : Hati-hati penggunaan pada penderita dengan gangguan fungsi hati dan ginjal, penderita hipertrofi prostat, hipertiroid, glaukoma, gangguan jantung, dan diabetes mellitus. Tidak dianjurkan penggunaan pada anak usia < 2 tahun, wanita hamil dan menyusui. Hati-hati penggunaan bersama dengan obat-obat penekan SSP. Selama minum obat ini tidak boleh mengemudikan kendaraan bermotor atau menjalankan mesin. Interaksi Obat : Penggunaan bersamaan dengan obat antidepresi tipe penghambat MAO dapat menyebabkan krisis hipertensi. Efek Samping : Mengantuk, sakit kepala, insomnia, palpitasi, eksitasi, tremor, aritmia, takikardia, mulut kering, gangguan pencernaan, dan sulit buang air seni. Komposisi : Tiap sendok takar (5 ml) mengandung : Pseudoephedrine HCI 30 mg Brompheniramine maleate 2 mg Cara Penyimpanan : Simpan pada suhu di bawah 30?C Kemasan : Dus, 1 Botol @ 100 ml Waktu/tanggal kedaluwarsa:? Lebih dari 6 bulan. Mohon mengacu pada tanggal EXP yang tertera pada kemasan. Diproduksi Oleh : PT. Interbat BPOM No? : DTL0317619237A1"
Komix Kid OBH (Rasa Madu) - Dus isi 10 Sachet,"Komix Kid OBH (Rasa Madu) merupakan sirup batuk Anak yang dikemas dalam sachet berukuran 5 ml. Komix Kid OBH (Rasa Madu) berkhasiat membantu meredakan batuk berdahak dan pilek pada Anak. Komix Kid OBH (Rasa Madu) bekerja sebagai ekspektoran untuk mengeluarkan dahak, dekongestan hidung untuk melegakan hidung tersumbat, dan antihistamin untu meredakan batuk. Indikasi : Digunakan untuk meringankan batuk berdahak dan pilek. Cara Kerja Obat :? Bekerja sebagai ekspektoran, dekongestan hidung, dan antihistamin. Cara Pakai : Anak 6 - 12 tahun 3 x sehari 1 sachet Efek Samping : Mengantuk, gangguan pencernaan, sakit kepala, insomnia, gelisah, eksitasi, tremor, takikardi, aritmia, mulut kering, palpitasi, retensi urin. Komposisi Setiap sachet (5 ml) mengandung : Succus Liquiritiae 167 mg Guaifenesin 100 mg Phenylephrine HCL 5 mg Chlorpheniramine Maleate 2 mg Kemasan : Dus berisi 10 Sachet @ 5 mL Diproduksi Oleh : Bintang Toedjoe BPOM No : No Reg : DTL1402813337A1"
Komix Kid (Rasa Strawberry) - Dus Isi 10 Sachet,"Komix Kid (Rasa Strawberry) merupakan sirup batuk Anak dalam bentuk cair yang dikemas dalam sachet berukuran 5 mL. Komix Kid (Rasa Strawberry) mengandung bahan zat aktif yang berkhasiat membantu meredakan batuk pada Anak. Komix Kid (Rasa Strawberry) bekerja sebagai antitusif untuk mengurangi gejala batuk, ekspektoran untuk mengeluarkan dahak, dan anthistamin untuk meredakan batuk. Indikasi : Digunakan untuk meringankan batuk berdahak dan pilek. Cara Kerja Obat : Bekerja sebagai ekspektoran, dekongestan hidung, dan antihistamin. Cara Pakai : Anak 6 - 12 tahun 3 x sehari 1 sachet Efek Samping : Mengantuk, gangguan pencernaan, sakit kepala, insomnia, gelisah, eksitasi, tremor, takikardi, aritmia, mulut kering, palpitasi, retensi urin. Komposisi : Setiap sachet (5 ml) mengandung :Chlorpheniramine Maleate 1 mgGuaifenensin 50 mg Kemasan : Dus Isi 10 Sachet @ 5 mL Brand : Komix Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia BPOM No : No Reg : DTL1402813337A1"
Komix Kid (Rasa Strawberry) Sachet 5 mL,"Komix Kid (Rasa Strawberry) merupakan sirup batuk Anak dalam bentuk cair yang dikemas dalam sachet berukuran 5 mL. Komix Kid (Rasa Strawberry) mengandung bahan zat aktif yang berkhasiat membantu meredakan batuk pada Anak. Komix Kid (Rasa Strawberry) bekerja sebagai antitusif untuk mengurangi gejala batuk, ekspektoran untuk mengeluarkan dahak, dan anthistamin untuk meredakan batuk. Indikasi : Digunakan untuk meringankan batuk berdahak dan pilek. Cara Kerja Obat : Bekerja sebagai ekspektoran, dekongestan hidung, dan antihistamin. Cara Pakai : Anak 6 - 12 tahun 3 x sehari 1 sachet Efek Samping : Mengantuk, gangguan pencernaan, sakit kepala, insomnia, gelisah, eksitasi, tremor, takikardi, aritmia, mulut kering, palpitasi, retensi urin. Komposisi : Setiap sachet (5 ml) mengandung :Chlorpheniramine Maleate 1 mgGuaifenensin 50 mg Kemasan : Sachet @ 5 mL Brand : Komix Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia BPOM No : No Reg : DTL1402813337A1"
Komix (Rasa Peppermint) - Dus Isi 30 sachet,"Komix (Rasa Peppermint) merupakan sirup batuk yang mengandung bahan bahan aktif yang berkhasiat membantu meredakan batuk dan menghangatkan tenggorokan. Komix bekerja sebagai antitusif untuk mengurangi gejala batuk, antihistamin untuk meredakan batuk, dan ekspektoran untuk mengeluarkan dahak. Indikasi : Digunakan untuk meredakan batuk dan menghangatkan tenggorokan. Cara kerja obat : Bekerja sebagai antitusif, antihistamin dan ekspektoran. Cara Pakai : Dewasa : 3x sehari 1 - 2 sachet Efek Samping : Mengantuk, gangguan pencernaan, mulut kering, retensi urine. Komposisi : Guaifenesin 100 mg, Chlorpheniramine Maleate 2 mg, dll Kemasan : Dus berisi 30 Sachet @ 7 mL Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia No BPOM : DTL 9102803337A1"
Komix (Rasa Jeruk Nipis) - Sachet,"Komix (Rasa Jeruk Nipis) merupakan sirup batuk yang mengandung bahan bahan aktif yang berkhasiat membantu meredakan batuk dan menghangatkan tenggorokan. Komix bekerja sebagai antitusif untuk mengurangi gejala batuk, antihistamin untuk meredakan batuk, dan ekspektoran untuk mengeluarkan dahak. Indikasi : Digunakan untuk meredakan batuk dan menghangatkan tenggorokan. Cara kerja obat : Bekerja sebagai antitusif, antihistamin dan ekspektoran. Cara Pakai : Dewasa : 3x sehari 1 - 2 sachet Efek Samping : Mengantuk, gangguan pencernaan, mulut kering, retensi urine. Komposisi : Guaifenesin 100 mg, Chlorpheniramine Maleate 2 mg, dll Kemasan :? Sachet @ 7 mL Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia No BPOM : DTL9502807737A1"
Komix (Rasa Jeruk Nipis) - Dus Isi 30 Sachet,"Komix (Rasa Jeruk Nipis) merupakan sirup batuk yang mengandung bahan bahan aktif yang berkhasiat membantu meredakan batuk dan menghangatkan tenggorokan. Komix bekerja sebagai antitusif untuk mengurangi gejala batuk, antihistamin untuk meredakan batuk, dan ekspektoran untuk mengeluarkan dahak. Indikasi : Digunakan untuk meredakan batuk dan menghangatkan tenggorokan. Cara kerja obat : Bekerja sebagai antitusif, antihistamin dan ekspektoran. Cara Pakai : Dewasa : 3x sehari 1 - 2 sachet Efek Samping : Mengantuk, gangguan pencernaan, mulut kering, retensi urine. Komposisi : Guaifenesin 100 mg, Chlorpheniramine Maleate 2 mg, dll Kemasan : Dus berisi 30 Sachet @ 7 mL Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia No BPOM : DTL9502807737A1"
Komix (Rasa Jahe) - Sachet,"Komix (Rasa Jahe) merupakan sirup batuk yang mengandung bahan bahan aktif yang berkhasiat membantu meredakan batuk dan menghangatkan tenggorokan. Komix (Rasa Jahe) bekerja sebagai antitusif untuk mengurangi gejala batuk, antihistamin untuk meredakan batuk, dan ekspektoran untuk mengeluarkan dahak. Indikasi : Digunakan untuk meredakan batuk dan menghangatkan tenggorokan. Cara kerja obat : Bekerja sebagai antitusif, antihistamin dan ekspektoran. Cara Pakai : Dewasa : 3x sehari 1 - 2 sachet Efek Samping : Mengantuk, gangguan pencernaan, mulut kering, retensi urine. Komposisi : Guaifenesin 100 mg, Chlorpheniramine Maleate 2 mg, dll Kemasan : Sachet @ 7 mL Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia No BPOM : DTL9502807737A1"
Komix (Rasa Jahe) - Dus isi 30 sachet,"Komix (Rasa Jahe) merupakan sirup batuk yang mengandung bahan bahan aktif yang berkhasiat membantu meredakan batuk dan menghangatkan tenggorokan. Komix (Rasa Jahe) bekerja sebagai antitusif untuk mengurangi gejala batuk, antihistamin untuk meredakan batuk, dan ekspektoran untuk mengeluarkan dahak. Indikasi : Digunakan untuk meredakan batuk dan menghangatkan tenggorokan. Cara kerja obat : Bekerja sebagai antitusif, antihistamin dan ekspektoran. Cara Pakai : Dewasa : 3x sehari 1 - 2 sachet Efek Samping : Mengantuk, gangguan pencernaan, mulut kering, retensi urine. Komposisi : Guaifenesin 100 mg, Chlorpheniramine Maleate 2 mg, dll Kemasan : Dus berisi 30 Sachet @ 7 mL Diproduksi Oleh : Bintang Toedjoe Produksi : Indonesia No BPOM : DTL9502807737A1"
Claritin 10 Mg Strip 10 Tablet,"Loratadine merupakan suatu antihistamin trisiklik yang bekerja lama dengan aktivitas antagonis selektif terhadap reseptor H 1 perifer tanpa efek sedasi sentral atau efek antikolinergik. Loratadine dapat mengatasi gejala alergi, seperti bersin-bersin, pilek, hidung tersumbat, dan ruam kulit yang terasa gatal. Gejala alergi ini bisa muncul akibat paparan alergen, misalnya debu, bulu hewan, gigitan serangga, atau makanan. Pada sebagian orang, paparan alergen tersebut dapat menyebabkan tubuh memproduksi dan melepaskan zat histamin. Zat inilah yang memicu terjadinya reaksi alergi. Loratadine bekerja dengan menghambat kerja zat histamin tersebut. INFORMASI PADA KEMASAN : BPOM No : DKL 1602009110A1 Cara Pakai : Orang dewasa dan anak-anak berumur 12 tahun atau lebih : satu tablet sekali sehari. Anak-anak berumur 1 hingga 12 tahun dengan berat badan > 30 kg : 10 mg (dua sendok teh) sirup sekali sehari. Anak-anak berumur 1 hingga 12 tahun dengan berat badan < 30 kg : 5 mg (satu sendok teh) sirotcup sekali sehari. Khasiat : Untuk menyembuhkan gejala-gejala yang berkaitan dengan rinitis alergik, seperti bersin-bersin, pilek (rinorea) dan rasa gatal pada hidung, demikian juga rasa gatal dan terbakar pada mata. Juga diindikasikan untuk menyembuhkan gejala dan tanda-tnada urtikaria kronis serta penyakit-penyakit dermatologis alergik lainnya. Kontra indikasi : Pada pasien yang menunjukkan hipersensitivitas atau idiosinkrasi terhadap komponen-komponennya. Perhatian : Pasien dengan gangguan hati berat harus diberikan dosis permulaan yang lebih rendah, karena hal ini kemungkinan dapat mengurangi bersihan Loratadine, dianjurkan dosis awal 5 mg sehari atau 10 mg setiap 2 hari. Khasiat dan keamanan penggunaan pada anak-anak usia dibawah 2 tahun belum ditetapkan. Keamanan pemakaian Loratadine selama kehamilan belum ditetapkan, hanya diberikan bila potensi manfaat lebih besar dari potensi risiko terhadap janin. Hati-hati bila diberikan pada wanita yang sedang menyusui, karena Loratadine diekskresikan dalam air susu ibu. Efek Samping : Loratadine tidak memperlihatkan efek sedatif yang secara klinis bermakna pada pemberian dosis 10 mg peitiari. Efek samping yang dilaporkan : lelah, sakit kepala, somnolensi, mulut kering, gangguan pencernaan, nausea, gastritis, dan gejala alergi yang menyerupai ruam. Pemah dilaporkan teijadinya alopesia, anafilaksis, fungsi hati abnormal dan takiaritmia supraventrikuler walaupun jarang. Komposisi : Setiap tablet mengandung 10 mg micronized Loratadine. Cara Penyimpanan : Simpan dibawah suhu 30c. Kemasan : Blister 10 Tablet Diproduksi Oleh : PT. Bayer Indonesia Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
Fluimucil Dry Sirup 75 mL,"Fluimucil adalah obat dengan komposisi N-Acetylcysteine. Acetylcysteine digunakan sebagai mukolitik (pengencer dahak) dan antidot pada pasien yang overdosis Paracetamol. Fungsi mukolitik dari Acetylcysteine bekerja dengan cara melalui gugus sulfhidril bebasnya yang membuka ikatan disulfida dalam mukoprotein, sehingga menurunkan viskositas lendir/ mukus (dahak) yang membuat mukus tersebut encer sehingga mukus lebih mudah dikeluarkan. Khasiat : Membantu dalam mengencerkan dahak di saluran pernafasan Komposisi : Tiap sendok takar (5ml) mengandung Acetylcysteine 100 mg Aturan Pakai : Dewasa : 10 ml sirup setara dengan 200 mg Acetylcysteine Dosis : 2 sendok takar (10 ml), 2-3 kali sehari Anak-anak : 5 ml sirup setara dengan 100 mg Acetylcysteine , 2-4 kali sehari sesuai dengan usia 2-4 tahun : 200mg/hari Lebih dari 4 tahun : 300mg/hari Cara Mencampur : Tambahkan air sampai tanda garis merah Tutuplah botol rapat-rapat, kemudian kocok botol dalam kondisi terbalik. Setelah dikocok, permukaan sirup akan terlihat dibawah tanda. Tambahkan lagi air sampai batas tanda Kocok sampai homogen/tercampur rata Setelah dicampur, sirup digunakan maksimal 12 hari Perhatian : Jangan menggunakan dosis lebih dari yang dianjurkan tanpa saran dari dokter. Lama pengobatan 5-10 hari Penyimpanan : Simpan ditempat kering terhindar dari sinar matahari langsung. Simpan dibawah suhu 30oC Kemasan : Botol 75 ml Produksi Oleh ; PT. Erela Dipasarkan Oleh : PT. Zambon Indonesia BPOM No : DKL 1806318438A1"
Bodrexin Demam Orange Sirup 60 mL,"New Product Launching ""Mandjur Thermosense Digital Thermometer"" alat pengukuran suhu tubuh dengan tingkat akurasi tinggi dan cepat. Waktu pengukuran < 1 menit. Bebas merkuri, anti air, dan dilengkapi box transparan untuk penyimpanan. Dapatkan segera dengan Harga Spesial Rp 19,500 Link Produk: https://www.mandjur.co.id/products/mandjur-thermosense-digital-thermometer Bodrexin Demam Orange Sirup adalah obat sirup anak rasa jeruk yang digunakan untuk membantu menurunkan panas/demam pada anak, termasuk demam setelah imunisasi/vaksinasi. Meredakan rasa sakit atau nyeri seperti sakit kepala dan sakit gigi. Dengan rasa dan aroma segar buah jeruk yang digemari anak-anak. Cara Kerja Obat : Bodrexin demam sirup mengandung Paracetamol Sebagai analgesik, bekerja dengan meningkatkan ambang rangsang rasa sakit Sebagai antipretik, diduga bekerja langsung pada pusat pengatur panas di hipotalamus Khasiat : Menurunkan demam/panas, termasuk demam karena imunisasi/vaksinasi dan meredakan rasa sakit seperti sakit kepala dan sakit gigi pada anak. Komposisi : Tiap sendok takar mengandung Paracetamol 160 mg Aturan Pakai : 0-3 bulan : 3-4 kali sehari, 1/4 sendok takar 4-11 bulan : 3-4 kali sehari, 1/2 sendok takar 12-23 bulan : 3-4 kali sehari, 3/4 sendok takar 2-3 tahun :3-4 kali sehari , 1 sendok takar 4-5 tahun : 3-4 kali sehari, 1 1/2 sendok takar 6-8 tahun : 3-4 kali sehari, 2 sendok takar 9-10 tahun : 3-4 kali sehari, 2 1/2 sendok takar 11-12 tahun : 3-4 kali sehari, 3 sendok takar Bila perlu dapat diulang tiap 4-6 jam (maksimum 4 kali sehari) atau menurut petunjuk dokter Efek Samping : Penggunaan dosis besar atau jangka panjang dapat menyebabkan kerusakan hati Reaksi hipersensitivitas Kontraindikasi : Gangguan fungsi hati dan ginjal Alergi terhadap paracetamol Peringatan dan Perhatian : Hanya menghilangkan gejala, hubungi dokter jika demam tidak menurun selama 2 hari atau rasa sakit tidak membaik selama 5 hari Jangan melebihi dosisi yang dianjurkan karena dapat menyebabkan kerusakan hati, kecuali atas petunjuk dokter Seperti obat-obat yang lain, obat ini harus disimpan di tempat yang aman sehingga tidak dapat diambil anak-anak Hati-hati penggunaan obat ini pada penderita penyakit ginjal Penggunaan obat ini pada penderita yang mengkonsumsi alkohol dapat meningkatkan resiko kerusakan fungsi hati Penyimpanan : Simpan ditempat kering dibawah suhu 30oC terhindar dari sinar matahari langsung. Jauhkan dari jangkauan anak-anak Kemasan : Botol isi 60 ml Produksi Oleh : PT. Tempo Scan Pacific Tbk BPOM No : DBL 9322707337A2"
Siladex DMP Sirup 60 mL,"SILADEX DMP merupakan obat sirup yang digunakan untuk meredakan batuk tidak berdahak atau batuk kering yang disertai alergi. Obat ini bekerja sebagai antitusif untuk meredakan batuk dan antihistamin untuk meredakan gejala alergi. Khasiat : Untuk mengatasi batuk tidak berdahak yang disertai alergi. Cara Pakai : Dewasa dan anak-anak diatas 12 tahun : 3 x sehari 2 sendok takar (10 mL). Anak-anak 6 - 12 tahun : 3 x sehari 1 sendok takar (5 mL). Atau menurut petunjuk dokter Kontra indikasi : Wanita hamil dan menyusui. Penderita hipersensitif terhadap salah satu bahan yang terkandung dalam sedian ini. Penderita Glaukoma. Penderita Asma Bronkial dan kegagalan pernafasan. Interaksi Obat : Penggunaan bersamaan dengan inhibitor MAO dapat menyebabkan stimulasi CNS dan depresi pernafasan berat. Efek Samping : Mual, pusing, mengantuk dan konstipasi. Komposisi : Tiap sendok takar (5 ml) mengandung Dextromethorphan HBr 7,5 mg & Diphenhydramine HCl 12,5 mg. Cara Penyimpanan : Simpan pada suhu dibawah 30 derajat celsius Kemasan : Dus, 1 Botol @ 60 ml Diproduksi Oleh : PT Konimex BPOM No : DTL 1613025637A1"
Siladex Antitussive (Siladex Batuk Tidak Berdahak) 60 mL,SILADEX ANTITUSSIVE adalah sirup obat batuk untuk meredakan batuk tidak berdahak / batuk kering yang disertai alergi. Bekerja meningkatkan ambang rangsang refleks batuk dan sebagai antihistamin. Khasiat : Untuk meringankan batuk yang tidak berdahak yang disertai alergi. Cara Pakai : Dewasa dan anak-anak diatas 12 tahun : 3 x sehari 1 sendok takar (5 mL) Anak-anak 6 - 12 tahun : 3 x sehari 1/2 sendok takar (2.5 mL) Atau menurut petunjuk dokter Kontra indikasi : Penderita hipersensitif terhadap salah satu bahan yang terkandung dalam sediaan ini. Penderita dengan gangguan jantung dan diabetes melitus. Penderita dengan gangguan fungsi hati yang berat. Kemasan : Botol @ 60 mL Diproduksi Oleh : PT Konimex BPOM No : DTL 1613025737A1
Actifed Sirup 60 mL (Actifed Kuning),"Actifed Kuning merupakan obat sirup yang digunakan untuk membantu mengatasi dan meringankan gejala pilek dan alergi, seperti bersin-bersin, hidung tersumbat, mata berair, dan lainnya. Actifed Kuning bekerja sebagai dekongestan untuk melegakan hidung tersumbat dan antihistamin untuk mengatasi alergi. Khasiat : Meringankan pilek dan alergi pernafasan hidung Cara Pakai : Dewasa dan anak-anak diatas 12 tahun : 1 sendok takar (5 ml), 3 kali sehari Anak-anak 6 - 12 tahun : 1/2 sendok takar (2.5 ml), 3 kali sehari Tidak dianjurkan untuk anak dibawah 6 tahun Kemasan : Netto 60 ml Diproduksi Oleh : PT. Glaxo Wellcome Indonesia BPOM No : DTL 1624504037A1"
Actifed Plus Expectorant (Actifed Hijau),"Actifed Plus Expectorant adalah obat yang di indikasikan untuk meringankan pilek dan batuk berdahak. Khasiat : Meringankan pilek dan batuk berdahak Cara pakai : Dewasa dan anak-anak diatas 12 tahun : 1 sendok takar (5 ml), 3 kali sehar Anak-anak 6 - 12 tahun : 1/2 sendok takar (2.5 ml), 3 kali sehari Perhatian : Tidak dianjurkan untuk anak dibawah 6 tahun Kemasan : Netto 60 ml Produksi : PT. Glaxo Wellcome Indonesia BPOM No : DTL 1624504237A1"
Actifed Plus Cough Suppressant (Actifed Merah),"Actifed Plus Cough Supperssant adalah obat yang di indikasikan untuk meringankan pilek dan batuk gatal & kering. Khasiat : Meringankan pilek dan batuk gatal & kering Cara pakai : Dewasa dan anak-anak diatas 12 tahun : 1 sendok takar (5 ml), 3 kali sehari Anak-anak dibawah 12 tahun : 6 - 12 tahun : 1/2 sendok takar (2.5 ml), 3 kali sehari 2 - 6 tahun : 1/4 sendok takar (1.25 ml), 3 kali sehari Perhatian : Tidak dianjurkan untuk anak dibawah 2 tahun Produksi : PT. Glaxo Wellcome Indonesia BPOM No : DTL 1624504137A1"
Tuntas 10 Kaplet,"Tuntas adalah kaplet herbal khusus wanita yang secara tradisional digunakan untuk membantu dalam melancarkan haid, meredakan nyeri haid, pegal dan sakit otot pinggang pada saat haid. Dengan kandungan bahan-bahan alami sehingga aman digunakan serta memiliki manfaat yang baik bagi kesehatan wanita. Kegunaan : Membantu dalam melancarkan haid, meredakan nyeri haid, pegal dan sakit otot pinggang pada saat haid. Komposisi : Tiap kaplet 600 mg mengandung total ekstrak yang setara dengan : Nigellae sativae semen 600 mg Achillea millefolium folia 800 mg Blumea balsamifera folia 800 mg Zingiberis officinale rhizoma 320 mg Curcumae domestica rhizoma 1480 mg Bahan tambahan sampai 600 mg Aturan Pemakaian : Minum secara teratur 1 kali sehari 2 kaplet tiap sore mulai hari pertama haid selama 3 hari berturut-turut. Perhatian : Wanita hamil dilarang minum kaplet ini Penyimpanan : Simpan ditempat kering dan terlindung dari sinar matahari langsung. Simpan dibawah suhu 30 derajat C. Kemasan : Box isi 10 kaplet Produksi Oleh : PT. Deltomed BPOM No : TR 152588261"
